,0
address1,1600 Amphitheatre Parkway
city,Mountain View
state,CA
zip,94043
country,United States
phone,650-253-0000
website,https://abc.xyz
industry,Internet Content & Information
industryKey,internet-content-information
industryDisp,Internet Content & Information
sector,Communication Services
sectorKey,communication-services
sectorDisp,Communication Services
longBusinessSummary,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in Google Play and YouTube; and devices, as well as the provision of YouTube consumer subscription services, such as YouTube TV, YouTube Music and Premium, NFL Sunday Ticket, and Google One. The Google Cloud segment offers consumption-based fees and subscriptions for AI solutions, including AI infrastructure, Vertex AI platform, and Gemini enterprise. It also provides cybersecurity, and data and analytics services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, and Meet; and other enterprise services. The Other Bets segment sells transportation and internet services. Alphabet Inc. was incorporated in 1998 and is headquartered in Mountain View, California."
fullTimeEmployees,194668
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Sundar  Pichai', 'age': 52, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 10906079, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ruth M. Porat', 'age': 67, 'title': 'President & Chief Investment Officer', 'yearBorn': 1958, 'fiscalYear': 2025, 'totalPay': 1015596, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Lawrence Edward Page II', 'age': 52, 'title': 'Co-Founder & Director', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sergey  Brin', 'age': 51, 'title': 'Co-Founder & Director', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Anat  Ashkenazi', 'age': 52, 'title': 'Senior VP & CFO', 'yearBorn': 1973, 'fiscalYear': 2025, 'totalPay': 1087961, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. J. Kent Walker', 'age': 64, 'title': 'President of Global Affairs, Chief Legal Officer & Company Secretary', 'yearBorn': 1961, 'fiscalYear': 2025, 'totalPay': 1015596, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Philipp  Schindler', 'age': 54, 'title': 'Senior Vice President & Chief Business Officer of Google', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 1623997, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. James H. Friedland', 'age': 55, 'title': 'Head of Investor Relations', 'yearBorn': 1970, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Fiona Clare Cicconi', 'age': 59, 'title': 'Chief People Officer', 'yearBorn': 1966, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ivy  Ross', 'age': 69, 'title': 'VP & Head of Design for all Hardware Products', 'yearBorn': 1956, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,7
boardRisk,9
compensationRisk,10
shareHolderRightsRisk,10
overallRisk,10
governanceEpochDate,1777593600
compensationAsOfEpochDate,1767139200
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,387.66
open,387.33
dayLow,381.7716
dayHigh,388.74
regularMarketPreviousClose,387.66
regularMarketOpen,387.33
regularMarketDayLow,381.7716
regularMarketDayHigh,388.74
dividendRate,0.88
dividendYield,0.23
exDividendDate,1780876800
payoutRatio,0.0641
beta,1.267
trailingPE,29.23435
forwardPE,26.500639
volume,19134802
regularMarketVolume,19134802
averageVolume,28612050
averageVolume10days,26974420
averageDailyVolume10Day,26974420
bid,380.0
ask,390.0
bidSize,1
askSize,1
marketCap,4639851282432
nonDilutedMarketCap,4620264607656
fiftyTwoWeekLow,162.0
fiftyTwoWeekHigh,408.61
allTimeHigh,408.61
allTimeLow,2.401401
priceToSalesTrailing12Months,10.981948
fiftyDayAverage,341.1402
twoHundredDayAverage,296.19165
trailingAnnualDividendRate,0.84
trailingAnnualDividendYield,0.0021668472
currency,USD
tradeable,False
enterpriseValue,4609100742656
profitMargins,0.37919
floatShares,10813651160
sharesOutstanding,5823665113
sharesShort,75606762
sharesShortPriorMonth,79660632
sharesShortPreviousMonthDate,1774915200
dateShortInterest,1777507200
sharesPercentSharesOut,0.0062
heldPercentInsiders,0.01181
heldPercentInstitutions,0.81103
shortRatio,2.7
shortPercentOfFloat,0.012999999
impliedSharesOutstanding,12115444154
bookValue,39.514
priceToBook,9.692008
lastFiscalYearEnd,1767139200
nextFiscalYearEnd,1798675200
mostRecentQuarter,1774915200
earningsQuarterlyGrowth,0.812
netIncomeToCommon,160207994880
trailingEps,13.1
forwardEps,14.45135
pegRatio,1.51
lastSplitFactor,20:1
lastSplitDate,1658102400
enterpriseToRevenue,10.909
enterpriseToEbitda,28.572
52WeekChange,1.2149796
SandP52WeekChange,0.26208222
lastDividendValue,0.21
lastDividendDate,1773014400
quoteType,EQUITY
currentPrice,382.97
targetHighPrice,515.0
targetLowPrice,334.22
targetMeanPrice,429.11566
targetMedianPrice,430.0
recommendationMean,1.43077
recommendationKey,strong_buy
numberOfAnalystOpinions,53
totalCash,126839996416
totalCashPerShare,10.469
ebitda,161315995648
totalDebt,95875997696
quickRatio,1.707
currentRatio,1.922
totalRevenue,422498009088
debtToEquity,20.026
revenuePerShare,34.932
returnOnAssets,0.14641
returnOnEquity,0.38884997
grossProfits,255053004800
freeCashflow,27921750016
operatingCashflow,174353006592
earningsGrowth,0.82
revenueGrowth,0.218
grossMargins,0.60368
ebitdaMargins,0.38181
operatingMargins,0.36121
financialCurrency,USD
symbol,GOOGL
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
shortName,Alphabet Inc.
longName,Alphabet Inc.
marketState,CLOSED
corporateActions,[]
postMarketTime,1779494397
regularMarketTime,1779480000
exchange,NMS
messageBoardId,finmb_29096
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
regularMarketChangePercent,-1.20982
regularMarketPrice,382.97
hasPrePostMarketData,True
firstTradeDateMilliseconds,1092922200000
postMarketChangePercent,-0.17664926
postMarketPrice,382.2935
postMarketChange,-0.6765137
regularMarketChange,-4.69
regularMarketDayRange,381.7716 - 388.74
fullExchangeName,NasdaqGS
averageDailyVolume3Month,28612050
fiftyTwoWeekLowChange,220.97
fiftyTwoWeekLowChangePercent,1.3640124
fiftyTwoWeekRange,162.0 - 408.61
fiftyTwoWeekHighChange,-25.639984
fiftyTwoWeekHighChangePercent,-0.06274928
fiftyTwoWeekChangePercent,121.49796
dividendDate,1781481600
earningsTimestamp,1777492800
earningsTimestampStart,1784836800
earningsTimestampEnd,1784836800
earningsCallTimestampStart,1777494600
earningsCallTimestampEnd,1777494600
isEarningsDateEstimate,True
epsTrailingTwelveMonths,13.1
epsForward,14.45135
epsCurrentYear,14.23667
priceEpsCurrentYear,26.900251
fiftyDayAverageChange,41.829803
fiftyDayAverageChangePercent,0.12261763
twoHundredDayAverageChange,86.77835
twoHundredDayAverageChangePercent,0.2929804
sourceInterval,15
exchangeDataDelayedBy,0
averageAnalystRating,1.4 - Strong Buy
cryptoTradeable,False
trailingPegRatio,1.5079
