,0
address1,1 Meta Way
city,Menlo Park
state,CA
zip,94025
country,United States
phone,650 543 4800
website,https://www.meta.com
industry,Internet Content & Information
industryKey,internet-content-information
industryDisp,Internet Content & Information
sector,Communication Services
sectorKey,communication-services
sectorDisp,Communication Services
longBusinessSummary,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality (VR) headsets, and AI glasses in the United States, Canada, Europe, Asia-Pacific, and internationally. It operates through two segments, Family of Apps (FoA) and Reality Labs (RL). The FoA segment offers Facebook, which enables people to build community through feed, reels, stories, groups, marketplace, and other; Instagram that brings people closer through Instagram feed, stories, reels, live, and messaging; Messenger, a messaging application for people to connect with friends, family, communities, and businesses across platforms and devices through text, audio, and video calls; Meta AI, an assistant that's available across apps, as a stand-alone app, on AI glasses, and on the web; Threads, an application for text-based updates and public conversations; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact. The RL segment provides virtual and augmented reality products, including consumer hardware, software, and content that help people feel connected, as well as Meta Quest devices that enable social experiences across gaming, fitness, entertainment, and more. The segment also includes wearables such as AI glasses like Ray Ban Meta and Oakley Meta glasses; and the Meta Ray Ban Display, which combines AI glasses with an integrated lens display and the Meta Neural Band, a wrist worn device using electromyography that lets people control their AI glasses through neuromuscular signals. Meta Platforms, Inc. has a collaboration with Microsoft Corporation, NVIDIA Corporation, Advanced Micro Devices, Inc., Broadcom Inc., and OpenAI, L.L.C. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. The company was incorporated in 2004 and is headquartered in Menlo Park, California."
fullTimeEmployees,77986
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Mark Elliot Zuckerberg', 'age': 41, 'title': 'Founder, Chairman & CEO', 'yearBorn': 1984, 'fiscalYear': 2025, 'totalPay': 25125904, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Dina  Powell McCormick', 'age': 51, 'title': 'President & Vice Chairman', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 51243, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Susan J. S. Li', 'age': 39, 'title': 'Chief Financial Officer', 'yearBorn': 1986, 'fiscalYear': 2025, 'totalPay': 3351064, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Javier  Olivan', 'age': 48, 'title': 'Chief Operating Officer', 'yearBorn': 1977, 'fiscalYear': 2025, 'totalPay': 6137729, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Andrew  Bosworth', 'age': 43, 'title': 'Chief Technology Officer', 'yearBorn': 1982, 'fiscalYear': 2025, 'totalPay': 3572302, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Christopher K. Cox', 'age': 42, 'title': 'Chief Product Officer', 'yearBorn': 1983, 'fiscalYear': 2025, 'totalPay': 3308578, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dana  White', 'age': 55, 'title': 'Independent Director', 'yearBorn': 1970, 'fiscalYear': 2025, 'totalPay': 68105, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Aaron A. Anderson', 'title': 'Chief Accounting Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Atish  Banerjea', 'age': 59, 'title': 'Chief Information Officer', 'yearBorn': 1966, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Henry T. A. Moniz', 'age': 60, 'title': 'Chief Compliance Officer', 'yearBorn': 1965, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,9
boardRisk,10
compensationRisk,10
shareHolderRightsRisk,10
overallRisk,10
governanceEpochDate,1777593600
compensationAsOfEpochDate,1767139200
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,607.38
open,607.49
dayLow,606.955
dayHigh,614.81
regularMarketPreviousClose,607.38
regularMarketOpen,607.49
regularMarketDayLow,606.955
regularMarketDayHigh,614.81
dividendRate,2.1
dividendYield,0.34
exDividendDate,1773619200
payoutRatio,0.0764
beta,1.243
trailingPE,22.175146
forwardPE,16.948385
volume,11103030
regularMarketVolume,11103030
averageVolume,15449504
averageVolume10days,12785010
averageDailyVolume10Day,12785010
bid,609.84
ask,610.75
bidSize,1
askSize,1
marketCap,1549098287104
nonDilutedMarketCap,1549098205498
fiftyTwoWeekLow,520.26
fiftyTwoWeekHigh,796.25
allTimeHigh,796.25
allTimeLow,17.55
priceToSalesTrailing12Months,7.2063484
fiftyDayAverage,617.814
twoHundredDayAverage,669.4295
trailingAnnualDividendRate,2.1
trailingAnnualDividendYield,0.003457473
currency,USD
tradeable,False
enterpriseValue,1554687197184
profitMargins,0.32837
floatShares,2192715434
sharesOutstanding,2196045588
sharesShort,28980090
sharesShortPriorMonth,26376854
sharesShortPreviousMonthDate,1774915200
dateShortInterest,1777507200
sharesPercentSharesOut,0.0114
heldPercentInsiders,0.00103
heldPercentInstitutions,0.79300004
shortRatio,1.69
shortPercentOfFloat,0.013200001
impliedSharesOutstanding,2538423304
bookValue,96.013
priceToBook,6.3560143
lastFiscalYearEnd,1767139200
nextFiscalYearEnd,1798675200
mostRecentQuarter,1774915200
earningsQuarterlyGrowth,0.609
netIncomeToCommon,70586998784
trailingEps,27.52
forwardEps,36.00697
pegRatio,0.88
enterpriseToRevenue,7.232
enterpriseToEbitda,14.223
52WeekChange,-0.04991281
SandP52WeekChange,0.26208222
lastDividendValue,0.525
lastDividendDate,1773619200
quoteType,EQUITY
currentPrice,610.26
targetHighPrice,1015.0
targetLowPrice,614.0
targetMeanPrice,826.60486
targetMedianPrice,825.0
recommendationMean,1.34921
recommendationKey,strong_buy
numberOfAnalystOpinions,58
totalCash,81180000256
totalCashPerShare,31.98
ebitda,109308002304
totalDebt,86769000448
quickRatio,2.11
currentRatio,2.348
totalRevenue,214962995200
debtToEquity,35.608
revenuePerShare,85.21
returnOnAssets,0.16395001
returnOnEquity,0.32930002
grossProfits,176141991936
freeCashflow,25558249472
operatingCashflow,124000002048
earningsGrowth,0.624
revenueGrowth,0.331
grossMargins,0.81941
ebitdaMargins,0.5085
operatingMargins,0.40617
financialCurrency,USD
symbol,META
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
shortName,"Meta Platforms, Inc."
longName,"Meta Platforms, Inc."
corporateActions,[]
postMarketTime,1779494399
regularMarketTime,1779480001
exchange,NMS
messageBoardId,finmb_20765463
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
regularMarketChangePercent,0.474169
regularMarketPrice,610.26
hasPrePostMarketData,True
firstTradeDateMilliseconds,1337347800000
postMarketChangePercent,-0.47685152
postMarketPrice,607.35
postMarketChange,-2.9100342
regularMarketChange,2.88
regularMarketDayRange,606.955 - 614.81
fullExchangeName,NasdaqGS
averageDailyVolume3Month,15449504
fiftyTwoWeekLowChange,90.0
fiftyTwoWeekLowChangePercent,0.17299043
fiftyTwoWeekRange,520.26 - 796.25
fiftyTwoWeekHighChange,-185.98999
fiftyTwoWeekHighChangePercent,-0.2335824
fiftyTwoWeekChangePercent,-4.991281
dividendDate,1774483200
earningsTimestamp,1777492800
earningsTimestampStart,1785355200
earningsTimestampEnd,1785355200
earningsCallTimestampStart,1777498200
earningsCallTimestampEnd,1777498200
isEarningsDateEstimate,True
epsTrailingTwelveMonths,27.52
epsForward,36.00697
epsCurrentYear,32.31885
priceEpsCurrentYear,18.882479
fiftyDayAverageChange,-7.554016
fiftyDayAverageChangePercent,-0.012227006
twoHundredDayAverageChange,-59.169495
twoHundredDayAverageChangePercent,-0.08838794
sourceInterval,15
exchangeDataDelayedBy,0
ipoExpectedDate,2022-06-09
prevName,"Facebook, Inc."
nameChangeDate,2026-05-24
averageAnalystRating,1.3 - Strong Buy
cryptoTradeable,False
marketState,CLOSED
displayName,Meta Platforms
trailingPegRatio,0.8817
