Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Method,Seed,K,Epochs Trained,Validation Reconstruction Loss,Native Evaluation Space,Common Evaluation Space,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Common-Space Silhouette Score,Common-Space Davies-Bouldin Index,Common-Space Calinski-Harabasz Score,Smallest Cluster,Largest Cluster
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Autoencoder + K-Means,42,4,300,0.21884678304195404,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.4553225636482239,0.8666880743994567,529.1893205998856,0.20121062447974447,1.778779041767471,151.30626483180012,54,359
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Autoencoder + K-Means,456,4,146,0.29872092604637146,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.46448761224746704,0.8292771326581848,651.2595992962837,0.20740410412446494,1.6288815883008518,139.07422217986314,54,347
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Autoencoder + K-Means,2026,4,191,0.1965540051460266,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.483874648809433,0.9425405231781798,530.3607440407837,0.24791835671271936,1.5001464173367265,157.16340038667497,47,394
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Autoencoder + K-Means,42,4,153,0.11069608479738235,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.4328080713748932,0.9260486614849992,601.0593583304936,0.23515498841936996,1.9113211934752972,177.48179010027212,45,214
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Autoencoder + K-Means,456,4,209,0.1134895607829094,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.4767044484615326,0.7902884292753878,542.8266513959427,0.23534942475270387,1.6851984433330933,190.00079252645753,39,253
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Autoencoder + K-Means,2026,4,300,0.10491238534450531,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.4505304992198944,0.8037212437961945,666.4509493479087,0.28542245225295293,1.2984260427861396,222.8084717384906,54,233
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Autoencoder + K-Means,42,4,300,0.20564502477645874,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.5912637710571289,0.7590987807313996,477.5849209194206,0.3678947799263864,1.2750862665593645,194.91808121588565,27,438
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Autoencoder + K-Means,456,4,300,0.2155967652797699,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.4417591989040375,0.8231701239768043,687.4073786781661,0.20507659013254986,1.8843281950483362,188.11368932961486,40,310
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Autoencoder + K-Means,2026,4,227,0.21283583343029022,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.5322000980377197,0.7659270893295299,792.9217757168083,0.3089708979543929,1.4557460558911821,225.67932981341937,48,373
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Autoencoder + K-Means,42,4,300,0.173470601439476,Autoencoder latent-3,Scenario-specific scaled KPI-8,0.3863360583782196,1.099834816724386,366.0155427778198,0.22645182554886595,1.6126988533841609,145.6716340688727,35,279
