Scenario ID,Scenario Name,Method,Selection Objective,Modal Configuration,Modal Selection Share,Distinct Configurations Selected,Selection Entropy,Normalised Selection Entropy,Mean_Selection_Regret,Max_Selection_Regret,Mean_Winner_Runner_Up_Margin
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=2,0.55,2,0.6881388137135884,0.9927744539878083,0.02313306309439639,0.08005120416998196,0.033183874693673496
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=2,0.5,4,1.094056456831614,0.78919491236176,,,
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,0.8,2,0.5004024235381879,0.7219280948873623,0.005841779513181039,0.05458692407197682,0.05864692792936847
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,Maximum common-space Silhouette,K-Means|K=2,0.7,2,0.6108643020548935,0.8812908992306927,0.011428259777557497,0.03234016082765756,0.020557308167922346
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=2,1.0,1,-0.0,0.0,0.0,0.0,0.13117173778119193
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=2,0.8,2,0.5004024235381879,0.7219280948873623,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,1.0,1,-0.0,0.0,0.0,0.0,0.11387559522469506
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Maximum common-space Silhouette,K-Means|K=2,1.0,1,-0.0,0.0,0.0,0.0,0.0960843795961365
industrials_revenue_20m,Industrials companies with revenue >= $20M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=2,0.5,2,0.6931471805599453,1.0,0.014400682310700666,0.06473927745883323,0.02996861119101867
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment traditional comparison,Maximum common-space Silhouette,K-Means|K=3,0.35,4,1.3350851650920204,0.9630603734213404,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,0.95,2,0.1985152433458726,0.2863969571159562,2.4712162334805666e-05,0.0004942432466961133,0.04819502077772268
industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,Maximum common-space Silhouette,K-Means|K=3,0.65,2,0.6474466390346325,0.9340680553754911,0.011914224736669077,0.07920401320637238,0.030672319023430778
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=2,1.0,1,-0.0,0.0,0.0,0.0,0.362130228877084
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=2,0.7,2,0.6108643020548935,0.8812908992306927,,,
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,1.0,1,-0.0,0.0,0.0,0.0,0.09763504414984876
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,Maximum common-space Silhouette,K-Means|K=2,1.0,1,-0.0,0.0,0.0,0.0,0.34255179688419785
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=2,0.55,2,0.6881388137135884,0.9927744539878083,0.013354993227060682,0.04783165775912218,0.035869745223504355
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=2,0.35,4,1.3040114826148388,0.9406454496153464,,,
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,1.0,1,-0.0,0.0,0.0,0.0,0.09289918354329592
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Maximum common-space Silhouette,K-Means|K=2,0.6,2,0.6730116670092565,0.9709505944546688,0.005715953165402276,0.04152978949901659,0.029197440867899542
