Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Variable,Bias-Corrected Cramer's V,Adjusted Mutual Information,Chi-Square P-Value,Contingency Rows,Contingency Columns,Expected Cells Below 5 Share,N Evaluated,Benjamini-Hochberg Adjusted P-Value
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,Sector,,,,2,1,,587,
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,Industry,0.0,-0.0012324487368401624,0.6091337017055942,2,12,0.375,587,0.6178356117299598
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,Sector,,,,2,1,,587,
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,Industry,0.03184542279287646,0.0011002683135235914,0.3934200591126203,2,12,0.16666666666666666,587,0.4107768264264124
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,Sector,,,,2,1,,587,
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,Industry,0.236591126357535,0.021198827623929165,7.81253627494824e-06,2,12,0.08333333333333333,587,8.599846132113566e-06
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,Sector,,,,3,1,,587,
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,Industry,0.0,0.0018069821113063178,0.5092612861081722,3,12,0.4166666666666667,587,0.5240224828069598
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,Sector,,,,2,1,,474,
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,Industry,0.0,-0.005602690897843487,0.9080969700882818,2,12,0.4583333333333333,474,0.9080969700882818
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,Sector,,,,3,1,,587,
