Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Cluster,N Companies,Dominant Sector,Dominant Sector Share,Dominant Industry,Dominant Industry Share,Median Log10 Revenue,Median Log10 MarketCap,MarketCap Coverage
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,0,533,Technology,1.0,Software - Application,0.2795497185741088,8.976648883512786,9.449503882809026,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,1,54,Technology,1.0,Software - Application,0.2777777777777778,7.903255212660545,8.630725836543824,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,0,472,Technology,1.0,Software - Application,0.2796610169491525,9.030541851678596,9.525356303305202,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,1,115,Technology,1.0,Software - Application,0.2782608695652174,8.106095661720428,8.510412964612167,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,0,219,Technology,1.0,Software - Application,0.2328767123287671,8.587600974711473,9.231640208136856,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,1,368,Technology,1.0,Software - Application,0.3070652173913043,9.000279508454874,9.469195938386546,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,-1,113,Technology,1.0,Software - Application,0.2831858407079646,8.587600974711473,9.17169027205254,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,0,456,Technology,1.0,Software - Application,0.27850877192982454,8.981406397886804,9.449635279085673,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,1,18,Technology,1.0,Software - Application,0.2777777777777778,7.673898313124719,8.576269286945504,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,0,456,Technology,1.0,Software - Application,0.27850877192982454,8.981406397886804,9.449635279085673,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,1,18,Technology,1.0,Software - Application,0.2777777777777778,7.673898313124719,8.576269286945504,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,-1,106,Technology,1.0,Software - Application,0.25471698113207547,8.418945451131737,9.133011761315394,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,0,468,Technology,1.0,Software - Application,0.28205128205128205,8.981406397886804,9.452375918117587,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,1,13,Technology,1.0,Software - Application,0.38461538461538464,7.685293781386784,8.354600381331682,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,0,468,Technology,1.0,Software - Application,0.28205128205128205,8.981406397886804,9.452375918117587,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,1,13,Technology,1.0,Software - Application,0.38461538461538464,7.685293781386784,8.354600381331682,1.0
