Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Cluster,KPI,N Companies in Cluster,Imputed Observations,Imputation Rate
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,0,EBITDA Margin,533,1,0.001876172607879925
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,0,Return on Assets,533,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,0,Asset Turnover,533,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,0,Revenue per Employee,533,25,0.04690431519699812
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,0,Current Ratio,533,1,0.001876172607879925
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,0,Debt Ratio,533,11,0.020637898686679174
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,0,Free Cash Flow Margin,533,1,0.001876172607879925
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,0,Operating Cash Flow Margin,533,3,0.005628517823639775
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,1,EBITDA Margin,54,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,1,Return on Assets,54,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,1,Asset Turnover,54,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,1,Revenue per Employee,54,5,0.09259259259259259
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,1,Current Ratio,54,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,1,Debt Ratio,54,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,1,Free Cash Flow Margin,54,0,0.0
