Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Variable,Kruskal-Wallis H,Kruskal-Wallis P-Value,Epsilon-Squared,Cluster Median Range,N Evaluated,Evaluation Coverage,Benjamini-Hochberg Adjusted P-Value
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,Log10 Total Revenue,83.28777444836413,7.093696221594928e-20,0.14066286230489594,1.0733936708522407,587,1.0,3.290267609165307e-19
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,Agglomerative|K=2,,All eligible companies,Log10 MarketCap,17.500325458513544,2.872585061516307e-05,0.028205684544467598,0.8187780462652015,587,1.0,4.2028425732252015e-05
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,Log10 Total Revenue,112.38383358662784,2.9441963931111845e-26,0.19039971553269716,0.924446189958168,587,1.0,2.790586146514079e-25
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Traditional full-assignment,K-Means|K=2,,All eligible companies,Log10 MarketCap,62.49885288677001,2.665998777430627e-15,0.1051262442508889,1.014943338693035,587,1.0,8.674443783281741e-15
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,Log10 Total Revenue,30.80237989094111,2.8568727975774734e-08,0.05094423912981386,0.41267853374340113,587,1.0,5.233598906486464e-08
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,Log10 MarketCap,7.381398315728802,0.006590191144618808,0.010908373189280004,0.23755573024969046,587,1.0,0.008162850395039205
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,Log10 Total Revenue,55.06941322152017,1.1011053128545096e-12,0.09087228291356193,1.3075080847620848,587,1.0,2.609140850024816e-12
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,All companies including noise,Log10 MarketCap,15.01378491253945,0.0005492853675822384,0.022283878274896318,0.8733659921401689,587,1.0,0.0007213506634513733
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,Log10 Total Revenue,38.092719905460854,6.746136994453263e-10,0.07858627098614587,1.3075080847620848,474,1.0,1.4140941007603956e-09
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=5,,HDBSCAN assigned subset,Log10 MarketCap,7.839999999999918,0.005110260660856096,0.01449152542372864,0.8733659921401689,474,1.0,0.0063659247089521654
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,Log10 Total Revenue,51.42811955352125,6.800263348603173e-12,0.08463719101630351,1.2961126165000199,587,1.0,1.544226468745304e-11
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,Log10 MarketCap,21.11534781608316,2.5993243787399207e-05,0.0327317599590465,1.097775536785905,587,1.0,3.828734557873667e-05
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,Log10 Total Revenue,28.261535074782216,1.0598117682248393e-07,0.05691343439411736,1.2961126165000199,481,1.0,1.8336425831191664e-07
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,Log10 MarketCap,14.24847160499894,0.00016019084564843547,0.02765860460333808,1.097775536785905,481,1.0,0.00021690437485316107
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,Log10 Total Revenue,55.06941322152017,1.1011053128545096e-12,0.09087228291356193,1.3075080847620848,587,1.0,2.609140850024816e-12
