Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Method,Seed,K,Epochs Trained,Validation Reconstruction Loss,Initial Native Evaluation Space,Final Native Evaluation Space,Common Evaluation Space,Initial Silhouette,Final Silhouette,Silhouette Improvement,Initial DBI,Final DBI,DBI Improvement,Initial CH,Final CH,CH Improvement,Initial Common-Space Silhouette,Final Common-Space Silhouette,Common-Space Silhouette Change,Initial Common-Space DBI,Final Common-Space DBI,Initial Common-Space CH,Final Common-Space CH,Initial Smallest Cluster,Final Smallest Cluster,Initial Largest Cluster,Final Largest Cluster,Convergence Iteration
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,DEC,42,4,300,0.21884678304195404,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.4553225636482239,0.5042962431907654,0.048973679542541504,0.8666880743994567,0.7377333920606777,0.12895468233877905,529.1893205998856,695.0510426218763,165.86172202199066,0.20121062447974447,0.1707443498825855,-0.030466274597158977,1.778779041767471,1.9243085039160286,151.30626483180012,154.92873739886392,54,73,359,298,170
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,DEC,456,4,146,0.29872092604637146,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.46448761224746704,0.5177907347679138,0.05330312252044678,0.8292771326581848,0.6659497685096893,0.16332736414849547,651.2595992962837,907.3347729149294,256.07517361864575,0.20740410412446494,0.14516874107763908,-0.062235363046825865,1.6288815883008518,1.678455831714985,139.07422217986314,147.88147979587353,54,93,347,235,250
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,DEC,2026,4,191,0.1965540051460266,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.483874648809433,0.5509235858917236,0.06704893708229065,0.9425405231781798,0.6357504709345682,0.30679005224361167,530.3607440407837,860.2763399260615,329.91559588527775,0.24791835671271936,0.1327812810032878,-0.11513707570943157,1.5001464173367265,1.7061978190057425,157.16340038667497,156.72591792883946,47,64,394,278,270
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,DEC,42,4,153,0.11069608479738235,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.4328080713748932,0.5386519432067871,0.10584387183189392,0.9260486614849992,0.6261973057800319,0.29985135570496735,601.0593583304936,1077.552989835858,476.4936315053643,0.23515498841936996,0.20683778957373997,-0.02831719884563,1.9113211934752972,1.8874590431122455,177.48179010027212,184.51089247496955,45,54,214,183,150
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,DEC,456,4,209,0.1134895607829094,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.4767044484615326,0.5327239036560059,0.05601945519447327,0.7902884292753878,0.637852783609108,0.15243564566627976,542.8266513959427,680.1094050688486,137.28275367290587,0.23534942475270387,0.16454094661741767,-0.0708084781352862,1.6851984433330933,2.1272979120440922,190.00079252645753,182.88903010032854,39,68,253,204,260
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,DEC,2026,4,300,0.10491238534450531,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.4505304992198944,0.5877810716629028,0.13725057244300842,0.8037212437961945,0.5111389240166482,0.2925823197795463,666.4509493479087,1329.871901823913,663.4209524760043,0.28542245225295293,0.24489264070165953,-0.0405298115512934,1.2984260427861396,1.4444532906445273,222.8084717384906,205.3727081746566,54,67,233,206,220
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,DEC,42,4,300,0.20564502477645874,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.5912637710571289,0.5150887370109558,-0.0761750340461731,0.7590987807313996,0.7239115621608031,0.03518721857059648,477.5849209194206,568.2830065302019,90.69808561078128,0.3678947799263864,0.13947461341364034,-0.22842016651274608,1.2750862665593645,1.6157167874439997,194.91808121588565,181.53063558418498,27,65,438,314,250
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,DEC,456,4,300,0.2155967652797699,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.4417591989040375,0.49981003999710083,0.058050841093063354,0.8231701239768043,0.790134445210525,0.03303567876627933,687.4073786781661,903.5912181112877,216.18383943312165,0.20507659013254986,0.16630000065496237,-0.0387765894775875,1.8843281950483362,1.9208272933478403,188.11368932961486,177.83638951275208,40,52,310,262,150
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,DEC,2026,4,227,0.21283583343029022,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.5322000980377197,0.5358675122261047,0.0036674141883850098,0.7659270893295299,0.5888196819005538,0.17710740742897613,792.9217757168083,1036.6252007485716,243.70342503176335,0.3089708979543929,0.1806226309013001,-0.12834826705309282,1.4557460558911821,1.5081700825499453,225.67932981341937,210.17662920104402,48,44,373,259,210
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,DEC,42,4,300,0.173470601439476,Autoencoder latent-3,DEC-refined latent-3,Scenario-specific scaled KPI-8,0.3863360583782196,0.4862159788608551,0.0998799204826355,1.099834816724386,0.8928675856973985,0.20696723102698755,366.0155427778198,748.1030631630505,382.0875203852307,0.22645182554886595,0.1880209068686291,-0.03843091868023685,1.6126988533841609,1.6993209454071418,145.6716340688727,154.41334403606572,35,46,279,233,130
