Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,Method Type,K,Common-Space Silhouette,Neural Seed Mean ARI,Mean Resampling ARI,Minimum Resampling ARI,Pareto Efficient,Common-Space Silhouette Rank,Mean Resampling ARI Rank,Minimum Resampling ARI Rank,Profiles Won,Separation-focused Weighted Rank,Balanced Weighted Rank,Stability-focused Weighted Rank,Profile Win Share
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Traditional full-assignment,2,0.44506115467793256,,0.6230898007924941,0.28581457726935355,True,1.0,3.0,3.0,0,1.8,2.1999999999999997,2.5999999999999996,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Traditional full-assignment,2,0.3906215619200194,,0.8629551009486646,0.6459171309958609,True,2.0,1.0,1.0,3,1.5999999999999999,1.4,1.2000000000000002,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,Traditional full-assignment,2,0.2523357281439438,,0.7307214066771116,0.31184718753885804,False,3.0,2.0,2.0,0,2.5999999999999996,2.4000000000000004,2.2,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,Neural full-assignment,4,0.2188443617723096,0.3524788173330815,0.414212766488656,0.25367430173160427,False,4.0,4.0,4.0,0,4.0,4.0,4.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,Neural full-assignment,4,0.14956479065450412,0.4621902452929743,0.3707335325041185,0.18273241934630335,False,5.0,5.0,5.0,0,5.0,5.0,5.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,Traditional full-assignment,2,0.484145290449611,,0.8537698263915519,0.5450956322678036,True,1.0,2.0,2.0,1,1.4000000000000001,1.6,1.8,0.3333333333333333
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Traditional full-assignment,2,0.47250100499989534,,0.9604459616460449,0.8599726899467569,True,2.0,1.0,1.0,2,1.5999999999999999,1.4,1.2000000000000002,0.6666666666666666
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,Traditional full-assignment,2,0.2787236743227077,,0.6898981896144796,0.38602534361395335,False,3.0,3.0,3.0,0,3.0,3.0,3.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,4,0.25197562180834226,0.4650603440001185,0.4784972864549891,0.26872918331600787,False,4.0,4.0,4.0,0,4.0,4.0,4.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,4,0.20542379229760574,0.43758416279256745,0.4137193250921153,0.17367768540747397,False,5.0,5.0,5.0,0,5.0,5.0,5.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,Traditional full-assignment,3,0.5027037840163403,,0.9309573515361484,0.8182353107534184,True,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Agglomerative,Traditional full-assignment,3,0.49100126998958327,,0.8245283481178527,0.591869455327852,False,2.0,2.0,2.0,0,2.0,2.0,2.0,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Gaussian Mixture,Traditional full-assignment,2,0.288963753349381,,0.6378020502733406,0.26540404567446163,False,4.0,3.0,4.0,0,3.75,3.65,3.5500000000000003,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,Neural full-assignment,4,0.29398075600444307,0.46781556796153917,0.4198093641799353,0.3310296052762203,False,3.0,4.0,3.0,0,3.25,3.35,3.45,0.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,Neural full-assignment,4,0.16213241498996758,0.3776202606493615,0.33602317460281145,0.23314925095232575,False,5.0,5.0,5.0,0,5.0,5.0,5.0,0.0
