Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Decision Profile,Method,Weighted Rank Score,Profile Winner,Separation Weight,Mean Stability Weight,Minimum Stability Weight
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Separation-focused,Agglomerative,1.8,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Separation-focused,K-Means,1.5999999999999999,True,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Separation-focused,Gaussian Mixture,2.5999999999999996,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Separation-focused,Autoencoder + K-Means,4.0,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Separation-focused,DEC,5.0,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Balanced,Agglomerative,2.1999999999999997,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Balanced,K-Means,1.4,True,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Balanced,Gaussian Mixture,2.4000000000000004,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Balanced,Autoencoder + K-Means,4.0,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Balanced,DEC,5.0,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Stability-focused,Agglomerative,2.5999999999999996,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Stability-focused,K-Means,1.2000000000000002,True,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Stability-focused,Gaussian Mixture,2.2,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Stability-focused,Autoencoder + K-Means,4.0,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Stability-focused,DEC,5.0,False,0.2,0.45,0.35
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Separation-focused,Agglomerative,1.4000000000000001,True,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Separation-focused,K-Means,1.5999999999999999,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Separation-focused,Gaussian Mixture,3.0,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Separation-focused,Autoencoder + K-Means,4.0,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Separation-focused,DEC,5.0,False,0.6,0.25,0.15
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Balanced,Agglomerative,1.6,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Balanced,K-Means,1.4,True,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Balanced,Gaussian Mixture,3.0,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Balanced,Autoencoder + K-Means,4.0,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Balanced,DEC,5.0,False,0.4,0.35,0.25
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Stability-focused,Agglomerative,1.8,False,0.2,0.45,0.35
