Scenario ID,Scenario Name,Configuration ID,Min Cluster Size,Min Samples,Total_Run_Count,Valid_Run_Count,Pareto_Frontier_Count,Mean_K,Mean_Silhouette,Mean_Coverage,Pareto Frontier Share
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=10|ms=10,10.0,10.0,20,8,8,0.85,0.5020455851395508,0.33204787234042554,1.0
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=10|ms=15,10.0,15.0,20,0,0,0.0,,0.0,
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=10|ms=5,10.0,5.0,20,20,18,2.75,0.4650491909533323,0.8575797872340425,0.9
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=15|ms=10,15.0,10.0,20,2,2,0.2,0.49444829200275087,0.08111702127659574,1.0
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=15|ms=15,15.0,15.0,20,0,0,0.0,,0.0,
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=15|ms=5,15.0,5.0,20,13,13,1.4,0.47018834748861743,0.5546542553191489,1.0
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=20|ms=10,20.0,10.0,20,0,0,0.0,,0.0,
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=20|ms=15,20.0,15.0,20,0,0,0.0,,0.0,
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=20|ms=5,20.0,5.0,20,2,2,0.2,0.4807421465932498,0.08683510638297873,1.0
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=25|ms=10,25.0,10.0,20,0,0,0.0,,0.0,
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=25|ms=15,25.0,15.0,20,0,0,0.0,,0.0,
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN|mcs=25|ms=5,25.0,5.0,20,0,0,0.0,,0.0,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=10|ms=10,10.0,10.0,20,20,4,2.8,0.5257223486195529,0.7687323943661972,0.2
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=10|ms=15,10.0,15.0,20,19,15,1.95,0.6193377377727228,0.7322535211267606,0.7894736842105263
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=10|ms=5,10.0,5.0,20,20,11,2.95,0.4399508447013057,0.854225352112676,0.55
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=15|ms=10,15.0,10.0,20,19,18,1.95,0.6159315819933457,0.7415492957746479,0.9473684210526315
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=15|ms=15,15.0,15.0,20,19,15,1.95,0.6193377377727228,0.7322535211267606,0.7894736842105263
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=15|ms=5,15.0,5.0,20,20,15,2.35,0.5356669675050962,0.8419718309859154,0.75
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=20|ms=10,20.0,10.0,20,18,18,1.8,0.6209083183929032,0.7045070422535211,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=20|ms=15,20.0,15.0,20,14,13,1.4,0.6251781638637839,0.5398591549295775,0.9285714285714286
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=20|ms=5,20.0,5.0,20,19,18,1.9,0.5799353474602367,0.8012676056338028,0.9473684210526315
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=25|ms=10,25.0,10.0,20,9,9,0.9,0.6252001675154041,0.3480281690140845,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=25|ms=15,25.0,15.0,20,2,2,0.2,0.6344314323659497,0.07492957746478873,1.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN|mcs=25|ms=5,25.0,5.0,20,15,14,1.5,0.5822563544340295,0.6312676056338028,0.9333333333333333
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=10|ms=10,10.0,10.0,20,11,10,1.3,0.6322254153748452,0.4637770362626951,0.9090909090909091
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=10|ms=15,10.0,15.0,20,0,0,0.0,,0.0,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=10|ms=5,10.0,5.0,20,20,19,2.8,0.590312269640868,0.8260790128798838,0.95
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=15|ms=10,15.0,10.0,20,1,0,0.15,0.6431505742583553,0.04358407079646018,0.0
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=15|ms=15,15.0,15.0,20,0,0,0.0,,0.0,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=15|ms=5,15.0,5.0,20,19,14,2.15,0.544922800771252,0.6742281529802787,0.7368421052631579
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=20|ms=10,20.0,10.0,20,0,0,0.0,,0.0,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=20|ms=15,20.0,15.0,20,0,0,0.0,,0.0,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=20|ms=5,20.0,5.0,20,7,4,0.75,0.5227618222763027,0.23861840434468343,0.5714285714285714
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=25|ms=10,25.0,10.0,20,0,0,0.0,,0.0,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=25|ms=15,25.0,15.0,20,0,0,0.0,,0.0,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN|mcs=25|ms=5,25.0,5.0,20,1,0,0.1,0.32874458895844944,0.006858407079646018,0.0
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=10|ms=10,10.0,10.0,20,20,18,2.0,0.6396214242645251,0.9300619885189552,0.9
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=10|ms=15,10.0,15.0,20,20,20,2.0,0.6409935089211192,0.9295692490324388,1.0
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=10|ms=5,10.0,5.0,20,20,9,2.4,0.5772811461821921,0.8944262475970393,0.45
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=15|ms=10,15.0,10.0,20,20,18,2.0,0.6396214242645251,0.9300619885189552,0.9
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=15|ms=15,15.0,15.0,20,20,20,2.0,0.6409935089211192,0.9295692490324388,1.0
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=15|ms=5,15.0,5.0,20,20,13,2.05,0.6397379440590566,0.9200271197980994,0.65
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=20|ms=10,20.0,10.0,20,20,18,2.0,0.6396214242645251,0.9300619885189552,0.9
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=20|ms=15,20.0,15.0,20,20,20,2.0,0.6409935089211192,0.9295692490324388,1.0
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=20|ms=5,20.0,5.0,20,20,14,2.0,0.640488110069187,0.9205570213878043,0.7
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=25|ms=10,25.0,10.0,20,20,18,2.0,0.6396214242645251,0.9300619885189552,0.9
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=25|ms=15,25.0,15.0,20,20,20,2.0,0.6409935089211192,0.9295692490324388,1.0
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN|mcs=25|ms=5,25.0,5.0,20,20,14,2.0,0.640488110069187,0.9205570213878043,0.7
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=10|ms=10,10.0,10.0,20,11,9,1.1,0.5514156447015683,0.41886285434401327,0.8181818181818182
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=10|ms=15,10.0,15.0,20,0,0,0.0,,0.0,
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=10|ms=5,10.0,5.0,20,20,16,2.15,0.44394475689650115,0.5744988405814115,0.8
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=15|ms=10,15.0,10.0,20,1,1,0.1,0.5712461100580143,0.04573560767590618,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=15|ms=15,15.0,15.0,20,0,0,0.0,,0.0,
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=15|ms=5,15.0,5.0,20,13,11,1.3,0.4648510378161701,0.3912120828805541,0.8461538461538461
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=20|ms=10,20.0,10.0,20,0,0,0.0,,0.0,
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=20|ms=15,20.0,15.0,20,0,0,0.0,,0.0,
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=20|ms=5,20.0,5.0,20,6,5,0.6,0.5048346114088152,0.23591049312706983,0.8333333333333334
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=25|ms=10,25.0,10.0,20,0,0,0.0,,0.0,
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=25|ms=15,25.0,15.0,20,0,0,0.0,,0.0,
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN|mcs=25|ms=5,25.0,5.0,20,0,0,0.0,,0.0,
