Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Native Evaluation Space,Common Evaluation Space,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Common-Space Silhouette Score,Common-Space Davies-Bouldin Index,Common-Space Calinski-Harabasz Score,Evaluation Coverage,Inertia,AIC,BIC,Noise Share,Min Cluster Size,Min Samples,Candidate ID,HDBSCAN Pareto Efficient,Mean_ARI,Min_ARI,Mean_Pairwise_Coverage
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5817187312482276,0.6163833501403887,153.45309736595553,0.5817187312482276,0.6163833501403887,153.45309736595553,0.807495741056218,,,,0.19250425894378198,10.0,5.0,HDBSCAN|mcs=10|ms=5,True,0.39226703551462655,-0.03671391507005522,0.37002613888641445
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5744546821801174,0.4824200533657836,117.25373663143168,0.5744546821801174,0.4824200533657836,117.25373663143168,0.8194207836456558,,,,0.18057921635434415,10.0,10.0,HDBSCAN|mcs=10|ms=10,True,0.8058246517016929,0.0,0.19558513937238345
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5817187312482276,0.6163833501403887,153.45309736595553,0.5817187312482276,0.6163833501403887,153.45309736595553,0.807495741056218,,,,0.19250425894378198,15.0,5.0,HDBSCAN|mcs=15|ms=5,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.40653674701074644,0.6290249489918146,180.67791610993996,0.40653674701074644,0.6290249489918146,180.67791610993996,0.8648648648648649,,,,0.1351351351351351,10.0,5.0,HDBSCAN|mcs=10|ms=5,True,0.9738704442133066,0.8101717043653021,0.8288565991961826
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6377840685987847,0.43551177462590696,327.282783630312,0.6377840685987847,0.43551177462590696,327.282783630312,0.7454954954954955,,,,0.25450450450450446,10.0,15.0,HDBSCAN|mcs=10|ms=15,True,0.9731445244430493,0.6448679502052774,0.6688159070403968
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.40653674701074644,0.6290249489918146,180.67791610993996,0.40653674701074644,0.6290249489918146,180.67791610993996,0.8648648648648649,,,,0.1351351351351351,15.0,5.0,HDBSCAN|mcs=15|ms=5,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6457317066461961,0.43660180517202574,380.9469997695481,0.6457317066461961,0.43660180517202574,380.9469997695481,0.7319819819819819,,,,0.26801801801801806,15.0,10.0,HDBSCAN|mcs=15|ms=10,True,0.9708266612200114,0.6554884500712841,0.6702971913527613
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6377840685987847,0.43551177462590696,327.282783630312,0.6377840685987847,0.43551177462590696,327.282783630312,0.7454954954954955,,,,0.25450450450450446,15.0,15.0,HDBSCAN|mcs=15|ms=15,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5797113590695884,0.5018074436609441,283.17229063971394,0.5797113590695884,0.5018074436609441,283.17229063971394,0.8265765765765766,,,,0.17342342342342343,20.0,5.0,HDBSCAN|mcs=20|ms=5,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6457317066461961,0.43660180517202574,380.9469997695481,0.6457317066461961,0.43660180517202574,380.9469997695481,0.7319819819819819,,,,0.26801801801801806,20.0,10.0,HDBSCAN|mcs=20|ms=10,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6377840685987847,0.43551177462590696,327.282783630312,0.6377840685987847,0.43551177462590696,327.282783630312,0.7454954954954955,,,,0.25450450450450446,20.0,15.0,HDBSCAN|mcs=20|ms=15,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5797113590695884,0.5018074436609441,283.17229063971394,0.5797113590695884,0.5018074436609441,283.17229063971394,0.8265765765765766,,,,0.17342342342342343,25.0,5.0,HDBSCAN|mcs=25|ms=5,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6457317066461961,0.43660180517202574,380.9469997695481,0.6457317066461961,0.43660180517202574,380.9469997695481,0.7319819819819819,,,,0.26801801801801806,25.0,10.0,HDBSCAN|mcs=25|ms=10,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6377840685987847,0.43551177462590696,327.282783630312,0.6377840685987847,0.43551177462590696,327.282783630312,0.7454954954954955,,,,0.25450450450450446,25.0,15.0,HDBSCAN|mcs=25|ms=15,True,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6295714429061497,0.44214409873814225,162.48469499501988,0.6295714429061497,0.44214409873814225,162.48469499501988,0.8141592920353983,,,,0.18584070796460173,10.0,10.0,HDBSCAN|mcs=10|ms=10,True,0.6605511596876331,-0.025876194232768632,0.23613007571462913
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6254152381897049,0.5309333537126176,215.0567482191361,0.6254152381897049,0.5309333537126176,215.0567482191361,0.8654867256637168,,,,0.13451327433628324,15.0,5.0,HDBSCAN|mcs=15|ms=5,True,0.49368959685918157,-0.0428315938440915,0.5016469171592588
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6254152381897049,0.5309333537126176,215.0567482191361,0.6254152381897049,0.5309333537126176,215.0567482191361,0.8654867256637168,,,,0.13451327433628324,20.0,5.0,HDBSCAN|mcs=20|ms=5,True,,,
