Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,Seed A,Seed B,ARI,NMI
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,42,456,0.3120486558047834,0.32983908657549826
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,42,2026,0.3267380136641477,0.36172742273981745
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,456,2026,0.4186497825303135,0.41383084084919186
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,42,456,0.4063025663573617,0.44305148926264537
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,42,2026,0.3375000945778891,0.40268290069692014
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,456,2026,0.6427680749436723,0.6380619205429726
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,42,456,0.5069810796708205,0.523681515078422
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,42,2026,0.5106976811745368,0.5237160195708789
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,456,2026,0.3775022711549981,0.47078792384777984
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,42,456,0.5069463507677903,0.5472852897531372
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,42,2026,0.4335953496264167,0.4834161176603756
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,456,2026,0.37221078798349533,0.4341632481782098
