Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,Mean_ARI,Std_ARI,Min_ARI,Max_ARI,Mean_NMI,Std_NMI,Min_NMI,Max_NMI
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,0.40217438542193723,0.13246265435477175,0.3029375259470905,0.5525915705578717,0.4694481875775265,0.06337875258728273,0.4236832220415006,0.5417881493212694
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,0.4026089143697556,0.1874331995533786,0.2682402643026817,0.6167286119457162,0.46814123055471063,0.1191791272861624,0.3793294881307521,0.6035856660480242
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,0.4650603440001185,0.07585028260954547,0.3775022711549981,0.5106976811745368,0.5060618194990268,0.030548094596084086,0.47078792384777984,0.5237160195708789
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,0.43758416279256745,0.06745628912529958,0.37221078798349533,0.5069463507677903,0.4882882185305742,0.05671818136794358,0.4341632481782098,0.5472852897531372
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,0.46781556796153917,0.1188258021751164,0.3473344919101398,0.5849138582966873,0.5064177801984656,0.05980805983827956,0.43809055310546663,0.5492731455796377
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,0.3776202606493615,0.06327170319730958,0.3047080036010433,0.418096402180765,0.4651717393853448,0.029023073454778787,0.4382686995238153,0.49592957687410555
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,0.3995863749921312,0.07477756828688568,0.32620376430045483,0.4756849011858705,0.4394871004731898,0.06509126271170132,0.400812297239677,0.5146372889540737
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,0.23306346126870578,0.07959862776375608,0.1790737557869673,0.32447706375193924,0.26290409700584055,0.07132553322928188,0.19005142057294688,0.3325974961514478
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,0.3524788173330815,0.057774490780361544,0.3120486558047834,0.4186497825303135,0.3684657833881692,0.04239938472034202,0.32983908657549826,0.41383084084919186
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,0.4621902452929743,0.16012404395267638,0.3375000945778891,0.6427680749436723,0.49459877016751275,0.12587161066911026,0.40268290069692014,0.6380619205429726
