Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,Run A,Run B,N Shared Companies,N Evaluated Companies,Pairwise Evaluation Coverage,ARI,NMI
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10000,10001,376,376,1.0,0.27706313259879717,0.3657905921483754
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10000,10002,376,376,1.0,0.25367430173160427,0.3085184747865503
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10000,10003,378,378,1.0,0.5936591251179582,0.4454604799831568
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10000,10004,373,373,1.0,0.6869766151988803,0.5243684961262259
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10001,10002,374,374,1.0,0.5432142040956384,0.5489332900515468
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10001,10003,380,380,1.0,0.2940479608070733,0.441077482018694
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10001,10004,374,374,1.0,0.2717556634565572,0.34193114720560286
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10002,10003,375,375,1.0,0.3134329997027235,0.4610057165724775
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10002,10004,375,375,1.0,0.3090275168434866,0.43103785762794544
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10003,10004,367,367,1.0,0.5992761453338414,0.48239573280488535
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,10000,10001,376,376,1.0,0.266094351231683,0.3691279610008289
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,10000,10002,376,376,1.0,0.18273241934630335,0.23799577575227343
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,10000,10003,378,378,1.0,0.392368052613323,0.35875318208875195
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,10000,10004,373,373,1.0,0.5894372063380462,0.48119113518234735
