Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,Sampling and Model Seed,N Companies,Native-Space Silhouette Score,Common-Space Silhouette Score
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10000,469,0.4333188831806183,0.3123435913194445
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,10000,469,0.4675629436969757,0.2344891246736812
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10001,469,0.32451677322387695,0.17391176418803994
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,10001,469,0.4373110830783844,0.1556550441196734
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10002,469,0.3846152424812317,0.17590311971899694
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,10002,469,0.3916495740413666,0.17590311971899694
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10003,470,0.47045302391052246,0.21741285900927595
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,10003,470,0.5289555191993713,0.1507196222806915
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,10004,469,0.5020854473114014,0.3081810705665714
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,10004,469,0.5279494524002075,0.22276373916247993
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,10000,355,0.43501895666122437,0.23301236835575082
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10000,355,0.5009872913360596,0.2300601869887842
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,10001,355,0.5148270726203918,0.30313082773176886
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,10001,355,0.5413494110107422,0.22194251603773024
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,10002,355,0.47631168365478516,0.2932330606016182
