Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Method,Mean_ARI,Std_ARI,Min_ARI,Mean_NMI,Mean_Shared_Companies
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,0.40929621495964763,0.11555702206553538,0.24785058043368766,0.4800152344650533,299.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,0.39920163779453843,0.09384851756936208,0.23876239676264044,0.4724167358803455,299.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,0.4784972864549891,0.22975016761370334,0.26872918331600787,0.5561639698661347,282.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,0.4137193250921153,0.19682221523044466,0.17367768540747397,0.4964527100207329,282.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,0.4198093641799353,0.11088256048941694,0.3310296052762203,0.5045559977263905,361.9
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,0.33602317460281145,0.07355758207741876,0.23314925095232575,0.43679962383517,361.9
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,0.310644791109722,0.1494946640022378,0.17156646253964336,0.4256136052107696,1057.1
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,0.3176176724087433,0.0636443007161994,0.2177257049585754,0.394592340877661,1057.1
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,0.414212766488656,0.16932141148668922,0.25367430173160427,0.435051926932546,374.8
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,0.3707335325041185,0.1278732179645648,0.18273241934630335,0.4132671347913157,374.8
