Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,Sampling Seed,Reference Cluster,Resampled Cluster,Cluster Company Count,Cluster Share of Evaluated Population,Reference Cluster Share,Shared-Company Jaccard
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10000,0,0,408,0.8699360341151386,0.9080068143100511,0.9466357308584686
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10000,1,1,61,0.1300639658848614,0.0919931856899489,0.6229508196721312
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10001,0,0,381,0.8123667377398721,0.9080068143100511,0.8796296296296297
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10001,1,1,88,0.18763326226012794,0.0919931856899489,0.4157303370786517
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10002,0,0,435,0.9275053304904051,0.9080068143100511,0.9747706422018348
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10002,1,1,34,0.07249466950959488,0.0919931856899489,0.75
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10003,0,0,430,0.9148936170212766,0.9080068143100511,0.9747126436781609
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10003,1,1,40,0.0851063829787234,0.0919931856899489,0.7608695652173914
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10004,0,0,416,0.8869936034115139,0.9080068143100511,0.9602803738317757
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10004,1,1,53,0.11300639658848614,0.0919931856899489,0.7068965517241379
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10005,0,0,399,0.8507462686567164,0.9080068143100511,0.9254079254079254
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10005,1,1,70,0.14925373134328357,0.0919931856899489,0.5555555555555556
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10006,0,0,384,0.8187633262260128,0.9080068143100511,0.8863109048723898
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10006,1,1,85,0.1812366737739872,0.0919931856899489,0.4367816091954023
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10007,0,0,428,0.9125799573560768,0.9080068143100511,0.9884259259259259
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10007,1,1,41,0.08742004264392324,0.0919931856899489,0.8809523809523809
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10008,0,0,360,0.7659574468085106,0.9080068143100511,0.8490566037735849
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10008,1,1,110,0.23404255319148937,0.0919931856899489,0.41818181818181815
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10009,0,0,361,0.7697228144989339,0.9080068143100511,0.8494117647058823
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10009,1,1,108,0.2302771855010661,0.0919931856899489,0.4074074074074074
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10010,0,0,380,0.8102345415778252,0.9080068143100511,0.8962264150943396
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10010,1,1,89,0.18976545842217485,0.0919931856899489,0.5056179775280899
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10011,0,0,397,0.8464818763326226,0.9080068143100511,0.9270588235294117
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10011,1,1,72,0.1535181236673774,0.0919931856899489,0.5866666666666667
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10012,0,0,385,0.8208955223880597,0.9080068143100511,0.8974358974358975
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10012,1,1,84,0.1791044776119403,0.0919931856899489,0.47619047619047616
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10013,0,0,431,0.9170212765957447,0.9080068143100511,0.9907407407407407
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10013,1,1,39,0.08297872340425531,0.0919931856899489,0.9047619047619048
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10014,0,0,415,0.8829787234042553,0.9080068143100511,0.9627039627039627
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10014,1,1,55,0.11702127659574468,0.0919931856899489,0.7192982456140351
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10015,0,0,424,0.902127659574468,0.9080068143100511,0.9859484777517564
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10015,1,1,46,0.09787234042553192,0.0919931856899489,0.8775510204081632
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10016,0,0,377,0.8038379530916845,0.9080068143100511,0.8744186046511628
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10016,1,1,92,0.19616204690831557,0.0919931856899489,0.41935483870967744
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10017,0,0,349,0.7409766454352441,0.9080068143100511,0.8169014084507042
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10017,1,1,122,0.25902335456475584,0.0919931856899489,0.36585365853658536
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10018,0,0,380,0.8050847457627118,0.9080068143100511,0.8899297423887588
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10018,1,1,92,0.19491525423728814,0.0919931856899489,0.4891304347826087
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10019,0,0,395,0.8404255319148937,0.9080068143100511,0.913953488372093
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,10019,1,1,75,0.1595744680851064,0.0919931856899489,0.5194805194805194
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10000,0,1,381,0.8123667377398721,0.8040885860306644,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10000,1,0,88,0.18763326226012794,0.19591141396933562,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10001,0,1,373,0.7953091684434968,0.8040885860306644,0.979002624671916
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10001,1,0,96,0.2046908315565032,0.19591141396933562,0.9166666666666666
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10002,0,0,404,0.8614072494669509,0.8040885860306644,0.9331683168316832
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10002,1,1,65,0.13859275053304904,0.19591141396933562,0.7065217391304348
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10003,0,1,379,0.8063829787234043,0.8040885860306644,0.994750656167979
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10003,1,0,91,0.19361702127659575,0.19591141396933562,0.978021978021978
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10004,0,1,393,0.837953091684435,0.8040885860306644,0.9541984732824428
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10004,1,0,76,0.16204690831556504,0.19591141396933562,0.8085106382978723
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10005,0,0,371,0.7910447761194029,0.8040885860306644,0.9893333333333333
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10005,1,1,98,0.208955223880597,0.19591141396933562,0.9591836734693877
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10006,0,1,372,0.7931769722814499,0.8040885860306644,0.986737400530504
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,10006,1,0,97,0.2068230277185501,0.19591141396933562,0.9484536082474226
