Scenario ID,Scenario Name,Selection Key,Run A,Run B,N Shared Companies,N Evaluated Companies,Pairwise Evaluation Coverage,ARI,NMI
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10001,376,376,1.0,0.9363669250981845,0.8758012406793592
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10002,376,376,1.0,0.7461453178474695,0.6459504448830369
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10003,378,378,1.0,0.5699128459840619,0.5222069032448011
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10004,373,373,1.0,0.6117535613548248,0.5408545268376804
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10005,375,375,1.0,0.7108569367473168,0.6731183294979619
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10006,378,378,1.0,0.9752955264180776,0.9423295603882473
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10007,376,376,1.0,0.9745965491072479,0.9405620196465817
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10008,382,382,1.0,0.8406703762317014,0.7502046975427433
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10009,372,372,1.0,0.8478853147079151,0.7582793684292968
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10010,379,379,1.0,0.6079562922588823,0.554769450610567
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10011,370,370,1.0,0.836964886231412,0.7465058139558552
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10012,381,381,1.0,0.7700870659712492,0.6659123141288034
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10013,380,380,1.0,0.9634713010264924,0.9210261830563697
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10014,373,373,1.0,0.8707571416875096,0.7850064797848285
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10015,381,381,1.0,0.5664195381112616,0.5059824373775567
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10016,379,379,1.0,0.678169016608423,0.6490847239009983
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10017,378,378,1.0,0.7400885994868409,0.641399790148538
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10018,384,384,1.0,0.5885001976582436,0.5078368622005851
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10000,10019,374,374,1.0,0.7448375520516457,0.6965172093849099
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10002,374,374,1.0,0.6459171309958609,0.5536770502179857
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10003,380,380,1.0,0.5362851000495394,0.4631812959259187
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10004,374,374,1.0,0.5876440444010186,0.4801605418476404
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10005,374,374,1.0,0.7139292907870598,0.6325957172405612
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10006,372,372,1.0,0.9755979218634547,0.9435336401186499
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10007,373,373,1.0,0.9744847954469059,0.940415548885258
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10008,376,376,1.0,0.7786566672345172,0.6821610449213759
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10009,377,377,1.0,0.7591718923356695,0.6634660265157956
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10010,367,367,1.0,0.5825871690896849,0.5054129279594913
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10011,377,377,1.0,0.7384200161358206,0.6436661234522019
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10012,375,375,1.0,0.7174819274980221,0.6166528312666101
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10013,372,372,1.0,1.0,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10014,376,376,1.0,0.8132087860703775,0.7187366056653997
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10015,380,380,1.0,0.5362304836561548,0.4663972460359124
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10016,379,379,1.0,0.6861481048094922,0.5897208467264177
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10017,372,372,1.0,0.6624519930306395,0.5706997457807563
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10018,384,384,1.0,0.5480065384006794,0.44089971104976744
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10001,10019,374,374,1.0,0.7344288165701395,0.6099118619416561
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10003,375,375,1.0,0.5165963206696003,0.47001613603585324
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10004,375,375,1.0,0.6542530304031599,0.5945294139743884
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10005,374,374,1.0,0.4687967599731044,0.3837645359973773
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10006,377,377,1.0,0.694121097303625,0.597630247392678
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10007,376,376,1.0,0.6735909855443132,0.5761974198281915
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10008,373,373,1.0,0.9035324786362081,0.8255651698386186
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10009,371,371,1.0,0.8903195964024333,0.8079599825951345
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10010,374,374,1.0,0.607470548382802,0.5545275681795575
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10011,374,374,1.0,0.9204082076380061,0.850717976613304
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10012,374,374,1.0,0.9262686677378039,0.8401456367282711
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10013,369,369,1.0,0.6864414749136039,0.5900322972875434
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10014,368,368,1.0,0.8605782002862553,0.7693672645622724
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10015,373,373,1.0,0.607471976925084,0.5411665661260135
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10016,371,371,1.0,0.46812021045177066,0.40014065162023993
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10017,375,375,1.0,1.0,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10018,370,370,1.0,0.5951730129309328,0.5375708619962805
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10002,10019,372,372,1.0,0.5016368787034049,0.4011186225844004
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10003,10004,367,367,1.0,0.8183871061692061,0.7430896181932679
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means|Selection-aware Silhouette leader,10003,10005,373,373,1.0,0.7913969057103064,0.6993059977917152
