Scenario ID,Scenario Name,Method,Selection Objective,Configuration ID,Selection Count,Selection Share
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=2,11,0.55
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=3,9,0.45
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=2,10,0.5
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=3,2,0.1
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment traditional comparison,Maximum common-space Silhouette,K-Means|K=2,7,0.35
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment traditional comparison,Maximum common-space Silhouette,K-Means|K=3,1,0.05
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,16,0.8
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=3,4,0.2
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Minimum AIC,Gaussian Mixture|K=10,18,0.9
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Minimum AIC,Gaussian Mixture|K=9,2,0.1
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=2,1,0.05
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=3,4,0.2
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=4,6,0.3
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=5,6,0.3
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=6,3,0.15
