Scenario ID,Scenario Name,Method,Selection Objective,Modal Configuration,Modal Selection Share,Distinct Configurations Selected,Selection Entropy,Normalised Selection Entropy
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=2,0.55,2,0.6881388137135884,0.9927744539878083
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=2,0.5,4,1.094056456831614,0.78919491236176
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,0.8,2,0.5004024235381879,0.7219280948873623
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Minimum AIC,Gaussian Mixture|K=10,0.9,2,0.3250829733914482,0.46899559358928117
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=4,0.3,5,1.4786258764929634,0.9187219122089041
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN,HDBSCAN balanced frontier leader,HDBSCAN|mcs=10|ms=5,0.8,3,0.6128694524619495,0.5578578164321781
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN,HDBSCAN coverage leader,HDBSCAN|mcs=10|ms=5,0.9,2,0.3250829733914482,0.46899559358928117
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN,HDBSCAN separation leader,HDBSCAN|mcs=10|ms=10,0.4,3,1.0549201679861442,0.9602297178607612
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,Maximum common-space Silhouette,K-Means|K=2,0.7,2,0.6108643020548935,0.8812908992306927
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=2,1.0,1,-0.0,0.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=2,0.8,2,0.5004024235381879,0.7219280948873623
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,1.0,1,-0.0,0.0
