Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Native Evaluation Space,Common Evaluation Space,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Common-Space Silhouette Score,Common-Space Davies-Bouldin Index,Common-Space Calinski-Harabasz Score,Evaluation Coverage,Inertia,AIC,BIC,Noise Share,Min Cluster Size,Min Samples
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.3906215619200194,1.2655168119183096,242.87830802803828,0.3906215619200194,1.2655168119183096,242.87830802803828,1.0,3714.061706895429,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.37355112832276505,1.2074267824733083,220.5964859174097,0.37355112832276505,1.2074267824733083,220.5964859174097,1.0,2994.10467389665,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.20524974209180122,1.4242519236176125,193.28501848663322,0.20524974209180122,1.4242519236176125,193.28501848663322,1.0,2635.134104658509,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.23708661665201977,1.298965955470944,183.67210623903264,0.23708661665201977,1.298965955470944,183.67210623903264,1.0,2323.2701862015524,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,6,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.20172210200204724,1.3655815697260456,170.9442209033985,0.20172210200204724,1.3655815697260456,170.9442209033985,1.0,2126.991725210395,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,7,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.2026716282456094,1.4154397568990293,161.47912054116765,0.2026716282456094,1.4154397568990293,161.47912054116765,1.0,1968.2100883066228,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,8,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.20567612553421705,1.334789467596545,151.853950282662,0.20567612553421705,1.334789467596545,151.853950282662,1.0,1853.4081745576639,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,9,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.21273311656902721,1.2677049976015546,144.40955962614137,0.21273311656902721,1.2677049976015546,144.40955962614137,1.0,1752.816128493981,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,10,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.20820703660483167,1.2606340072750368,138.44773215636667,0.20820703660483167,1.2606340072750368,138.44773215636667,1.0,1663.5729413502424,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Agglomerative,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.44506115467793256,0.9606482865393691,190.8869336461766,0.44506115467793256,0.9606482865393691,190.8869336461766,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Agglomerative,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.4141914684976668,1.1173275211727023,189.41303697527195,0.4141914684976668,1.1173275211727023,189.41303697527195,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Agglomerative,4,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.2512027596788829,1.2804836275470624,168.1286905654077,0.2512027596788829,1.2804836275470624,168.1286905654077,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Agglomerative,5,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.2201667703608642,1.3492264017692697,162.91641645345067,0.2201667703608642,1.3492264017692697,162.91641645345067,1.0,,,,,,
