Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,K,Sampling Seed,N Companies,Common-Space Silhouette Score,Evaluation Coverage
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10000,469,0.4237249996752655,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10001,469,0.32767829100332624,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10002,469,0.49295165544835484,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10003,470,0.444362759822226,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10004,469,0.46397493363057885,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,469,0.3703616874425052,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10006,469,0.324591614858273,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10007,469,0.41388655058005774,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10008,470,0.3501127290683008,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10009,469,0.35146657272984455,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10010,469,0.4088525364967162,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10011,469,0.3903153871972526,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10012,469,0.41340588001045714,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10013,470,0.41475183065647614,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10014,470,0.47447564970299677,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10015,470,0.4479681642850825,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10016,469,0.3279983569707744,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10017,471,0.3046936274898163,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10018,472,0.3464933910102322,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10019,470,0.3535243633121777,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10000,469,0.38806603793750677,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10001,469,0.3830735183782673,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10002,469,0.4754791120250009,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10003,470,0.3807202339887288,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10004,469,0.43240430430667,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10005,469,0.3623577689217331,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10006,469,0.36843233244304924,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10007,469,0.36949318358458155,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10008,470,0.43633124316212296,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10009,469,0.42388689865410584,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10010,469,0.40881078484001915,1.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,10011,469,0.44798488860276253,1.0
