Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,Mean_ARI,Std_ARI,Min_ARI,Mean_NMI,Mean_Pairwise_Coverage,Mean_Shared_Companies,K
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0.7208313981822768,0.15647769691265676,0.351131901177046,0.6654522086202912,1.0,300.4736842105263,3
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0.5863991325849318,0.23525979638773672,0.15383658760085253,0.5057681456153418,1.0,300.4736842105263,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0.8902096868916485,0.09763049599453422,0.6147864818651694,0.8545585732371684,1.0,300.4736842105263,3
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0.8889130823092535,0.14089488438586975,0.0,0.8692157148330251,0.8338523357237547,300.4736842105263,3
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=5,HDBSCAN,0.9674031099767745,0.07719500673749201,0.683634788259504,0.9597396181219671,0.34195583898725773,300.4736842105263,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0.8537698263915519,0.11651740202133097,0.5450956322678036,0.7704574320653033,1.0,283.38947368421054,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0.6898981896144796,0.13578683379786127,0.38602534361395335,0.6049077010839361,1.0,283.38947368421054,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0.9604459616460449,0.036467531599586545,0.8599726899467569,0.9214951239937104,1.0,283.38947368421054,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,0.9731445244430493,0.0549159504210481,0.6448679502052774,0.9571465490729737,0.6688159070403968,283.38947368421054,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0.9738704442133066,0.042525098719473124,0.8101717043653021,0.9583906158365554,0.8288565991961826,283.38947368421054,3
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,0.9708266612200114,0.07106362387227488,0.6554884500712841,0.9578423006731996,0.6702971913527613,283.38947368421054,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0.8245283481178527,0.08471247700690199,0.591869455327852,0.7578458032148775,1.0,362.12105263157895,3
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0.6378020502733406,0.1678999620543567,0.26540404567446163,0.5363333907639762,1.0,362.12105263157895,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0.9309573515361484,0.03975414316517293,0.8182353107534184,0.8714623682050036,1.0,362.12105263157895,3
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,0.6605511596876331,0.38061802568284797,-0.025876194232768632,0.6463788400557682,0.23613007571462913,362.12105263157895,3
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=5,HDBSCAN,0.49368959685918157,0.4360839075262405,-0.0428315938440915,0.4910345066706587,0.5016469171592588,362.12105263157895,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0.8078500464963764,0.13129109246626633,0.49477944773390764,0.7117449435319352,1.0,1055.5842105263157,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0.9023515710718263,0.05048385128729219,0.7442242851755334,0.8443596478173596,1.0,1055.5842105263157,2
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|K-Means,K-Means,0.9591802416748626,0.03240001715687563,0.8355222757530573,0.9142525702473657,1.0,1055.5842105263157,2
