Symbol,Company Name,Sector,KPI,Reason,Rule Description,Rule Field,Observed Value,Reference Value,Materiality Threshold
AMKR,"Amkor Technology, Inc. - Common Stock",Technology,Return on Assets,source_field_missing,Total Assets is required.,Total Assets,,,
BTOG,Bit Origin Limited - Class A Ordinary Shares,Financial Services,Return on Assets,source_field_missing,Total Assets is required.,Total Assets,,,
ESLT,Elbit Systems Ltd. - Ordinary Shares,Industrials,Return on Assets,source_field_missing,Total Assets is required.,Total Assets,,,
PC,Premium Catering (Holdings) Limited - Ordinary Shares,Industrials,Return on Assets,source_field_missing,Total Assets is required.,Total Assets,,,
SLAB,"Silicon Laboratories, Inc. - Common Stock",Technology,Return on Assets,source_field_missing,Total Assets is required.,Total Assets,,,
AMKR,"Amkor Technology, Inc. - Common Stock",Technology,Asset Turnover,source_field_missing,Total Assets is required.,Total Assets,,,
BTOG,Bit Origin Limited - Class A Ordinary Shares,Financial Services,Asset Turnover,source_field_missing,Total Assets is required.,Total Assets,,,
ESLT,Elbit Systems Ltd. - Ordinary Shares,Industrials,Asset Turnover,source_field_missing,Total Assets is required.,Total Assets,,,
PC,Premium Catering (Holdings) Limited - Ordinary Shares,Industrials,Asset Turnover,source_field_missing,Total Assets is required.,Total Assets,,,
SLAB,"Silicon Laboratories, Inc. - Common Stock",Technology,Asset Turnover,source_field_missing,Total Assets is required.,Total Assets,,,
AMKR,"Amkor Technology, Inc. - Common Stock",Technology,Debt Ratio,source_field_missing,Total Assets is required.,Total Assets,,,
BTOG,Bit Origin Limited - Class A Ordinary Shares,Financial Services,Debt Ratio,source_field_missing,Total Assets is required.,Total Assets,,,
ESLT,Elbit Systems Ltd. - Ordinary Shares,Industrials,Debt Ratio,source_field_missing,Total Assets is required.,Total Assets,,,
PC,Premium Catering (Holdings) Limited - Ordinary Shares,Industrials,Debt Ratio,source_field_missing,Total Assets is required.,Total Assets,,,
SLAB,"Silicon Laboratories, Inc. - Common Stock",Technology,Debt Ratio,source_field_missing,Total Assets is required.,Total Assets,,,
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ATCH,"AtlasClear Holdings, Inc. Common Stock",Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BRIA,BrilliA Inc Class A Ordinary Shares,Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BTG,B2Gold Corp Common shares (Canada),Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CET,Central Securities Corporation Common Stock,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CHOW,ChowChow Cloud International Holdings Limited Ordinary Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CKX,"CKX Lands, Inc. Common Stock",Energy,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
DNN,Denison Mines Corp Ordinary Shares (Canada),Energy,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
DXF,"Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60,000) Ordinary Shares)",Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
EQX,Equinox Gold Corp. Common Shares,Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
FLYX,"flyExclusive, Inc. Class A Common Stock",Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GAU,Galiano Gold Inc.,Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GCDT,Green Circle Decarbonize Technology Limited Ordinary Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GROY,Gold Royalty Corp. Common Shares,Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
LUD,Luda Technology Group Limited Ordinary Shares,Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MI,NFT Limited Class A Ordinary Share,Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MWG,Multi Ways Holdings Limited Class A Ordinary Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
PW,Power REIT (MD) Common Stock,Real Estate,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
QNC,Quantum eMotion Corp. Common Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
SVM,Silvercorp Metals Inc. Common Shares,Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
SYNX,Silynxcom Ltd. Ordinary Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
TGB,"Taseko Mines, Ltd. Common Stock",Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
USAS,"Americas Gold and Silver Corporation Common Shares, no par value",Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
VIDA,VIDA Global Inc. Class A Common Stock,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ABTS,Abits Group Inc - Ordinary Shares,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ABVE,Above Food Ingredients Inc. - Common Stock,Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ACB,Aurora Cannabis Inc. - Common Shares,Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ACON,"Aclarion, Inc. - Common Stock",Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ADXN,Addex Therapeutics Ltd - American Depositary Shares,Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AFCG,Advanced Flower Capital Inc. - Common Stock,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AGRZ,Agroz Inc. - Ordinary Shares,Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AIAI,AIAI Holdings Corporation - Class A common stock,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AIIO,Robo.ai Inc. - Class B Ordinary Shares,Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AIIR,Air Global PLC - Ordinary shares,Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AKAN,Akanda Corp. - Common Shares,Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ALPS,ALPS Group Inc - Ordinary Share,,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AMBR,Amber International Holding Limited - American Depositary Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AMCI,AMC Robotics Corporation - Common Stock,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AMSF,"AMERISAFE, Inc. - Common Stock",Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ARBK,Argo Blockchain plc - American Depositary Shares,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ARXS,"Arxis, Inc. - Class A Common Stock",Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock",Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ATCX,Atlas Critical Minerals Corporation - Common Stock,,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AUGO,Aura Minerals Inc. - Common Shares,Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
AZ,A2Z Cust2Mate Solutions Corp. - Common Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BAOS,Baosheng Media Group Holdings Limited - Ordinary shares,Communication Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BGM,BGM Group Ltd. - Class A Ordinary Shares,Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BGMS,"Bio Green Med Solution, Inc. - Common Stock",Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BIYA,Baiya International Group Inc.  - Ordinary Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BRBI,BRBI BR Partners S.A. - ADSs,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BRUN,Boost Run Inc. - Class A Common Stock,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BTCT,BTC Digital Ltd. - Ordinary Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BTQ,BTQ Technologies Corp. - Common Stock,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
BTTC,Black Titan Corp - Ordinary Shares,,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CAAS,"China Automotive Systems, Inc. - Ordinary Share",Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CCAP,"Crescent Capital BDC, Inc. - Common Stock",Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CCEC,Capital Clean Energy Carriers Corp. - Common Share,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CDTG,CDT Environmental Technology Investment Holdings Limited - ordinary shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CELU,Celularity Inc. - Class A Common Stock,Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CHRN,ChronoScale Corporation - Common Stock,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CISS,C3is Inc. - Common Stock,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CLWT,Euro Tech Holdings Company Limited - Ordinary Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
CURR,Currenc Group Inc. - Ordinary Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
DETX,"Liberty Defense Holdings, Ltd. - Common Shares",Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
DGICA,"Donegal Group, Inc. - Class A Common Stock",Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
DGICB,"Donegal Group, Inc. - Class B Common Stock",Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
DLPN,"Dolphin Entertainment, Inc. - Common Stock",Communication Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
DLXY,Delixy Holdings Limited - Class A Ordinary Shares,Energy,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
EDRY,EuroDry Ltd. - Common Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
EH,EHang Holdings Limited - ADS,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
EHLD,Euroholdings Ltd. - Common Stock,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ELVA,Electrovaya Inc. - Common Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
EPSM,Epsium Enterprise Limited - Class A Ordinary Shares,Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ESEA,Euroseas Ltd. - Common Stock,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
EUDA,Euda Health Holdings Limited - Ordinary Shares,Real Estate,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
FCFS,"FirstCash Holdings, Inc. - Common Stock",Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
FCHL,Fitness Champs Holdings Limited - Ordinary Shares,Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
FGL,Founder Group Limited - Class A Ordinary Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
FISV,"Fiserv, Inc. - Common Stock",,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
FORTY,Formula Systems (1985) Ltd. - American Depositary Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
FRAF,Franklin Financial Services Corporation - Common Stock,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
FRMM,"Forum Markets, Incorporated - Common Stock",Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,Communication Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,Communication Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GAIN,Gladstone Investment Corporation - Business Development Company,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GASS,"StealthGas, Inc. - common stock",Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GCL,GCL Global Holdings Ltd - Ordinary Shares,Communication Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GIGM,GigaMedia Limited - Ordinary Shares,Communication Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GLOO,"Gloo Holdings, Inc. - Common Stock",Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GP,GreenPower Motor Company Inc. - Common Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GRDX,GridAI Technologies Corp.  - Common Stock,Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
GSIW,Garden Stage Limited - Class A Ordinary Shares,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
HBNB,Hotel101 Global Holdings Corp. - Class A Ordinary Shares,Real Estate,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
HIHO,Highway Holdings Limited - Common Stock,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
HLP,Hongli Group Inc. - Ordinary Shares,Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
HQ,Horizon Quantum Holdings Ltd. - Class A Ordinary Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
HRZN,Horizon Technology Finance Corporation - Common Stock,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
IBG,Innovation Beverage Group Limited - Ordinary Shares,Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
ICON,Icon Energy Corp. - Common stock,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
IMOS,ChipMOS TECHNOLOGIES INC. - American Depositary Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
IMPP,Imperial Petroleum Inc. - Common Shares,Energy,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
INCR,Intercure Ltd. - ordinary shares,Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
INEO,INNEOVA Holdings Limited - Class A Ordinary Shares,Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
INTR,Inter & Co. Inc. - Class A Common Shares,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
INTZ,Intrusion Inc. - Common Stock,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
JCSE,JE Cleantech Holdings Limited - Ordinary Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
JDZG,JIADE LIMITED - Class A Ordinary Shares,Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
JEM,707 Cayman Holdings Limited - Ordinary Shares,Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
JFU,9F Inc. - American Depositary Shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
KARO,Karooooo Ltd. - Ordinary shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
KEEL,Keel Infrastructure Corp. - Common Stock,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
KIDZ,"Classover Holdings, Inc. - Class B Common Stock",Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
KWM,"K Wave Media, Ltd. - Ordinary Shares",Communication Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
LAND,Gladstone Land Corporation - Common Stock,Real Estate,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
LGHL,Lion Group Holding Ltd. - American Depositary Share,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
LHAI,Linkhome Holdings Inc. - Common stock,Real Estate,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
LIEN,"Chicago Atlantic BDC, Inc. - Common Stock",Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
LKFT,Lakefront Biotherapeutics - American Depositary Shares,Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
LOPE,"Grand Canyon Education, Inc. - Common Stock",Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
LSE,"Leishen Energy Holding Co., Ltd. - Class A Ordinary Shares",Energy,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
LXEH,"Lixiang Education Holding Co., Ltd. - American Depositary Shares",Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MAAS,Maase Inc. - Class A Ordinary Shares,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MAKO,Mako Mining Corp - Common Stock,Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MDRR,"Medalist Diversified, Inc. - Common Stock",Real Estate,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MEHA,"Functional Brands, Inc. - Common Stock",Consumer Defensive,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MGN,Megan Holdings Limited - Class A Ordinary Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MKDW,MKDWELL Tech Inc. - Ordinary Shares,Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MKZR,"MacKenzie Realty Capital, Inc. - Common Stock",Real Estate,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MLAB,"Mesa Laboratories, Inc. - Common Stock",Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MLCI,Mount Logan Capital Inc. - Common Stock,Financial Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MLEC,Moolec Science SA - Ordinary Shares,Healthcare,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MMYT,MakeMyTrip Limited - Ordinary Shares,Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MNRO,"Monro, Inc.  - Common Stock",Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MOVE,"Corvex, Inc. - Common Stock",Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MRLN,"Merlin, Inc. - Common Stock",Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MTEK,Maris-Tech Ltd. - ordinary shares,Technology,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
MTEN,Mingteng International Corporation Inc. - Class A Ordinary Shares,Industrials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
NCI,Neo-Concept International Group Holdings Limited - Class A Ordinary Shares,Consumer Cyclical,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
NICM,Nicola Mining Inc. - American Depositary Shares,Basic Materials,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
NIPG,NIP Group Inc. - American Depositary Shares,Communication Services,Revenue per Employee,source_field_missing,Employees is required.,Employees,,,
