Scenario ID,Scenario Name,KPI,Reason,Sector,Affected_Companies,Scenario Companies,Affected Company Share
technology_revenue_25m,Technology companies with revenue >= $25M,Asset Turnover,source_field_missing,Technology,2,590,0.003389830508474576
technology_revenue_25m,Technology companies with revenue >= $25M,Cash Conversion Ratio,immaterial_positive_denominator,Technology,21,590,0.03559322033898305
technology_revenue_25m,Technology companies with revenue >= $25M,Cash Conversion Ratio,non_positive_denominator,Technology,239,590,0.40508474576271186
technology_revenue_25m,Technology companies with revenue >= $25M,Current Ratio,source_field_missing,Technology,2,590,0.003389830508474576
technology_revenue_25m,Technology companies with revenue >= $25M,Debt Ratio,source_field_missing,Technology,13,590,0.022033898305084745
technology_revenue_25m,Technology companies with revenue >= $25M,Return on Assets,source_field_missing,Technology,2,590,0.003389830508474576
technology_revenue_25m,Technology companies with revenue >= $25M,Revenue per Employee,source_field_missing,Technology,31,590,0.05254237288135593
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Cash Conversion Ratio,immaterial_positive_denominator,Healthcare,15,444,0.033783783783783786
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Cash Conversion Ratio,non_positive_denominator,Healthcare,228,444,0.5135135135135135
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Cash Conversion Ratio,source_field_missing,Healthcare,1,444,0.0022522522522522522
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Current Ratio,source_field_missing,Healthcare,3,444,0.006756756756756757
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Debt Ratio,source_field_missing,Healthcare,7,444,0.015765765765765764
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Revenue per Employee,source_field_missing,Healthcare,9,444,0.02027027027027027
industrials_revenue_20m,Industrials companies with revenue >= $20M,Asset Turnover,source_field_missing,Industrials,1,567,0.001763668430335097
industrials_revenue_20m,Industrials companies with revenue >= $20M,Cash Conversion Ratio,immaterial_positive_denominator,Industrials,27,567,0.047619047619047616
industrials_revenue_20m,Industrials companies with revenue >= $20M,Cash Conversion Ratio,non_positive_denominator,Industrials,182,567,0.32098765432098764
industrials_revenue_20m,Industrials companies with revenue >= $20M,Current Ratio,source_field_missing,Industrials,2,567,0.003527336860670194
industrials_revenue_20m,Industrials companies with revenue >= $20M,Debt Ratio,source_field_missing,Industrials,10,567,0.01763668430335097
industrials_revenue_20m,Industrials companies with revenue >= $20M,Return on Assets,source_field_missing,Industrials,1,567,0.001763668430335097
industrials_revenue_20m,Industrials companies with revenue >= $20M,Revenue per Employee,source_field_missing,Industrials,30,567,0.05291005291005291
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Cash Conversion Ratio,immaterial_positive_denominator,Consumer Cyclical,23,470,0.04893617021276596
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Cash Conversion Ratio,non_positive_denominator,Consumer Cyclical,167,470,0.3553191489361702
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Cash Conversion Ratio,source_field_missing,Consumer Cyclical,1,470,0.002127659574468085
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Debt Ratio,source_field_missing,Consumer Cyclical,2,470,0.00425531914893617
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Revenue per Employee,source_field_missing,Consumer Cyclical,14,470,0.029787234042553193
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Asset Turnover,source_field_missing,Industrials,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Asset Turnover,source_field_missing,Technology,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,immaterial_positive_denominator,Communication Services,4,1654,0.0024183796856106408
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,immaterial_positive_denominator,Consumer Cyclical,17,1654,0.010278113663845224
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,immaterial_positive_denominator,Consumer Defensive,11,1654,0.006650544135429262
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,immaterial_positive_denominator,Energy,7,1654,0.004232164449818622
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,immaterial_positive_denominator,Healthcare,8,1654,0.0048367593712212815
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,immaterial_positive_denominator,Industrials,17,1654,0.010278113663845224
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,immaterial_positive_denominator,Real Estate,2,1654,0.0012091898428053204
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,immaterial_positive_denominator,Technology,10,1654,0.006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,immaterial_positive_denominator,Utilities,1,1654,0.0006045949214026602
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,non_positive_denominator,Basic Materials,38,1654,0.022974607013301087
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,non_positive_denominator,Communication Services,44,1654,0.026602176541717048
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,non_positive_denominator,Consumer Cyclical,64,1654,0.03869407496977025
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Cash Conversion Ratio,non_positive_denominator,Consumer Defensive,20,1654,0.012091898428053204
