Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Method,Seed,K,Epochs Trained,Validation Reconstruction Loss,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Smallest Cluster,Largest Cluster
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,Autoencoder + K-Means,42,4,206,0.30191338062286377,0.39752984046936035,0.960614791664532,477.00757102895614,79,231
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,Autoencoder + K-Means,456,4,217,0.34563225507736206,0.4092935621738434,0.9602354163300402,538.57307034315,49,302
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,Autoencoder + K-Means,2026,4,282,0.29613807797431946,0.3919142186641693,0.9241631346932278,392.71509639468144,60,311
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Autoencoder + K-Means,42,4,214,0.1261540651321411,0.43574997782707214,0.7525135834328529,624.3384840374603,37,241
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Autoencoder + K-Means,456,4,300,0.15636205673217773,0.3708646595478058,0.9299554369883196,392.06448403418995,34,226
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Autoencoder + K-Means,2026,4,277,0.15011201798915863,0.4140256941318512,0.8269081238633573,629.3130711179713,39,233
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,Autoencoder + K-Means,42,4,300,0.25800374150276184,0.44668176770210266,0.913812529220651,482.1912884933245,49,340
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,Autoencoder + K-Means,456,4,213,0.24103286862373352,0.5722390413284302,0.9271489012349265,576.1010849827936,41,386
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,Autoencoder + K-Means,2026,4,300,0.23383665084838867,0.39822813868522644,0.8823535308335932,331.83961735500964,43,340
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,Autoencoder + K-Means,42,4,300,0.2180967926979065,0.3849237859249115,0.9561179611480362,419.32313647161936,45,229
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,Autoencoder + K-Means,456,4,231,0.21960395574569702,0.3800477385520935,0.948623665139521,341.8437784077559,38,267
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,Autoencoder + K-Means,2026,4,271,0.2312307357788086,0.4524988830089569,0.9084462786807963,344.5560660808659,42,264
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,Autoencoder + K-Means,42,4,300,0.1954190582036972,0.47459927201271057,0.7025331589897511,2045.1436121649745,156,958
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,Autoencoder + K-Means,456,4,300,0.19599755108356476,0.43912532925605774,0.827675508033233,1429.0684467403712,151,908
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,Autoencoder + K-Means,2026,4,300,0.18404589593410492,0.46231499314308167,0.8195765718976455,1096.0591398021904,157,1013
