Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Inertia,AIC,BIC,Noise Share,Min Cluster Size,Min Samples
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,HDBSCAN,2,0.39641314285989787,0.8584694873667803,63.58651068012205,,,,0.13695652173913042,15.0,5.0
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,K-Means,3,0.2990066860458699,1.3029352878979097,161.4372843569731,2205.425350187658,,,,,
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,Agglomerative,3,0.2981069246535754,1.2980933146231843,153.56526305228715,,,,,,
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,Gaussian Mixture,3,0.2502245383035706,1.650529900842236,117.89162126748191,,7935.093534296884,8488.677883887625,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,HDBSCAN,2,0.6215222341998727,0.4239338562620689,228.26882855595562,,,,0.19772727272727272,20.0,10.0
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Agglomerative,2,0.45627436037708896,0.8895474560975752,243.06251355569768,,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,K-Means,2,0.45609995716139917,0.8909814392070645,253.3002898493003,2572.751729823263,,,,,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,Gaussian Mixture,2,0.31774710839416476,1.3237320168708535,185.46386535963148,,7387.404407882511,7751.127358577706,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,HDBSCAN,2,0.5429026046370481,0.6081389215820096,131.72634797145963,,,,0.15370705244122965,20.0,5.0
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,Agglomerative,2,0.4443085489819493,1.0249471473852307,143.85574484316348,,,,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,K-Means,3,0.4312034788266133,1.0446433134089956,196.34271741558084,4020.433196754405,,,,,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,Gaussian Mixture,2,0.27591036911468664,2.3629264032421204,87.2875670837224,,10944.426679265187,11328.493541400674,,,
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,HDBSCAN,2,0.578039272219399,0.5973196010514114,494.0547622851901,,,,0.09848024316109423,15.0,5.0
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,K-Means,2,0.5093809169370611,0.8600492749997476,790.1283693687243,12449.40796658615,,,,,
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,Agglomerative,2,0.44668499841657683,1.0908660518360551,704.9224617681382,,,,,,
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,Gaussian Mixture,2,0.20728035693670116,2.12884301297546,309.3473848082998,,31167.83303227601,31648.92214630076,,,
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,HDBSCAN,2,0.4856204536426709,0.6019040487310284,85.27731915046101,,,,0.6547619047619048,15.0,10.0
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,K-Means,3,0.27668963169153193,1.379077549312879,172.0872476290131,3686.6165588082536,,,,,
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,Agglomerative,6,0.2572847632854883,1.4571263999318607,130.06549001942983,,,,,,
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,Gaussian Mixture,2,0.2380745345927054,1.682748441749764,176.39096503903784,,11520.441967900715,11909.970666263693,,,
