Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Method,Seed,K,Epochs Trained,Validation Reconstruction Loss,Initial Silhouette,Final Silhouette,Silhouette Improvement,Initial DBI,Final DBI,DBI Improvement,Initial CH,Final CH,CH Improvement,Initial Smallest Cluster,Final Smallest Cluster,Initial Largest Cluster,Final Largest Cluster,Convergence Iteration
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,DEC,42,4,206,0.30191338062286377,0.39752984046936035,0.5663820505142212,0.16885221004486084,0.960614791664532,0.5961587761112968,0.36445601555323526,477.00757102895614,1161.6214489476356,684.6138779186795,79,97,231,212,160
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,DEC,456,4,217,0.34563225507736206,0.4092935621738434,0.6023401618003845,0.19304659962654114,0.9602354163300402,0.5887256294097273,0.3715097869203129,538.57307034315,1451.8977056626059,913.3246353194559,49,76,302,299,150
technology_revenue_20m,Technology companies with revenue >= $20M,Technology,20000000,inf,588,DEC,2026,4,282,0.29613807797431946,0.3919142186641693,0.540026843547821,0.14811262488365173,0.9241631346932278,0.6330506597548166,0.2911124749384112,392.71509639468144,909.7455068378795,517.030410443198,60,66,311,309,60
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,DEC,42,4,214,0.1261540651321411,0.43574997782707214,0.5528644919395447,0.11711451411247253,0.7525135834328529,0.5532476014209236,0.19926598201192935,624.3384840374603,1022.7350542237084,398.39657018624814,37,71,241,189,180
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,DEC,456,4,300,0.15636205673217773,0.3708646595478058,0.4991663098335266,0.12830165028572083,0.9299554369883196,0.6168603053157167,0.31309513167260294,392.06448403418995,844.578689940105,452.5142059059151,34,46,226,169,120
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,440,DEC,2026,4,277,0.15011201798915863,0.4140256941318512,0.48395323753356934,0.06992754340171814,0.8269081238633573,0.6674259240685383,0.15948219979481904,629.3130711179713,970.6660916098275,341.3530204918562,39,46,233,210,60
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,DEC,42,4,300,0.25800374150276184,0.44668176770210266,0.49061042070388794,0.04392865300178528,0.913812529220651,0.8139036561825435,0.09990887303810758,482.1912884933245,673.6421972012881,191.4509087079636,49,46,340,334,50
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,DEC,456,4,213,0.24103286862373352,0.5722390413284302,0.6161082983016968,0.0438692569732666,0.9271489012349265,0.6327194408410608,0.29442946039386575,576.1010849827936,1069.6514778044798,493.55039282168616,41,43,386,374,100
industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,553,DEC,2026,4,300,0.23383665084838867,0.39822813868522644,0.4966433346271515,0.09841519594192505,0.8823535308335932,0.6812834892821839,0.2010700415514094,331.83961735500964,508.6051393931571,176.76552203814748,43,42,340,337,100
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,DEC,42,4,300,0.2180967926979065,0.3849237859249115,0.47848474979400635,0.09356096386909485,0.9561179611480362,0.7666916682796464,0.18942629286838975,419.32313647161936,638.5193445224463,219.19620805082695,45,46,229,227,50
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,DEC,456,4,231,0.21960395574569702,0.3800477385520935,0.5355713367462158,0.15552359819412231,0.948623665139521,0.5842989876562293,0.36432467748329167,341.8437784077559,587.2531552467046,245.40937683894873,38,39,267,161,320
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,460,DEC,2026,4,271,0.2312307357788086,0.4524988830089569,0.5435126423835754,0.09101375937461853,0.9084462786807963,0.7468072221969118,0.16163905648388455,344.5560660808659,615.1114557739031,270.5553896930372,42,45,264,258,80
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,DEC,42,4,300,0.1954190582036972,0.47459927201271057,0.6897215843200684,0.2151223123073578,0.7025331589897511,0.3874109396692414,0.3151222193205097,2045.1436121649745,6697.248623567879,4652.105011402904,156,179,958,634,460
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,DEC,456,4,300,0.19599755108356476,0.43912532925605774,0.6908697485923767,0.25174441933631897,0.827675508033233,0.47947849567291245,0.3481970123603205,1429.0684467403712,4300.500488214211,2871.43204147384,151,141,908,866,480
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1645,DEC,2026,4,300,0.18404589593410492,0.46231499314308167,0.6422252655029297,0.17991027235984802,0.8195765718976455,0.544126813533396,0.27544975836424956,1096.0591398021904,2735.528204879597,1639.4690650774066,157,172,1013,969,110
