Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Architecture,Seed,K,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Saved At
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,42,2,0.49114999175071716,1.337724461569906,254.66017181042176,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,42,3,0.4961990714073181,0.9098665291672767,308.7152069093805,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,42,4,0.4029930830001831,0.8917554241397869,321.5958256759032,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,42,5,0.35391655564308167,0.9823954916809428,317.67219431375656,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,42,6,0.3549138009548187,0.9802431443347243,305.1971865779281,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,42,7,0.35608115792274475,0.9776914211475661,290.4774919081309,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,42,8,0.3685287535190582,0.9117509077198835,283.33574194142386,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,42,9,0.37066853046417236,0.966479138476369,284.980983767875,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,42,10,0.3754555583000183,0.9016604135165401,282.8282193899726,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,123,2,0.3673888146877289,1.2905773270255736,210.0676345752974,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,123,3,0.395729124546051,1.0564809896802572,274.0751616475393,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,123,4,0.38823121786117554,0.919349745522285,293.22993027948627,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,123,5,0.2841777205467224,1.071365139353695,282.71900467015126,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,123,6,0.27885669469833374,1.0518686597094233,274.09738910206795,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,123,7,0.2863965332508087,1.0256764042024478,264.2597988695756,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,123,8,0.29698294401168823,1.020206132772887,260.5026007078316,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,123,9,0.30572375655174255,0.9959626840784708,260.26954715546293,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,123,10,0.29962554574012756,0.9776262295241368,259.0436685067503,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,456,2,0.506361722946167,0.9965329912745584,504.7120359735498,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,456,3,0.46748319268226624,1.2191101199837178,413.65424253644744,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,456,4,0.4719221591949463,1.08549512309347,387.91806151223983,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,456,5,0.501069962978363,0.8652847396673783,407.40659941990236,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,456,6,0.3555799126625061,0.9809163492764568,403.9159457552265,2026-07-27 17:59:49
