Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Architecture,Seed,Best Silhouette K,Best Silhouette Score,Best DBI K,Best Davies-Bouldin Index,Best CH K,Best Calinski-Harabasz Score,Saved At
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,42,3,0.4961990714073181,4,0.8917554241397869,4,321.5958256759032,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,123,3,0.395729124546051,4,0.919349745522285,4,293.22993027948627,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,456,2,0.506361722946167,5,0.8652847396673783,2,504.7120359735498,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,789,2,0.5654034614562988,3,0.7236423880995617,3,584.4606128230342,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Simple,2026,3,0.5055724382400513,2,0.8407452973892475,3,396.59667947654236,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Baseline,42,3,0.5467841625213623,3,0.7829474155075209,3,511.8115516415835,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Baseline,123,2,0.4225272238254547,10,0.9370547914102119,5,340.4500302345147,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Baseline,456,2,0.4916853904724121,3,0.8209028910162696,3,384.2847294667552,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Baseline,789,3,0.5261039733886719,3,0.7929026512564935,3,484.1650929120254,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Baseline,2026,2,0.5161176919937134,4,0.8723700950020641,3,358.8470100777422,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Latent-4,42,2,0.5497540235519409,4,0.9212682158374804,2,515.3992428632605,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Latent-4,123,3,0.4758533835411072,7,1.0322091594407485,3,337.1815452767884,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Latent-4,456,2,0.5211424827575684,2,0.9301597602035777,2,348.95773210226355,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Latent-4,789,2,0.5570474863052368,2,0.8721632208109119,2,650.9838512876423,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Latent-4,2026,2,0.6072554588317871,2,0.7324650358159801,2,653.0572639323875,2026-07-27 17:59:49
