Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Seed A,Seed B,Initial ARI,Final ARI,ARI Improvement,Initial NMI,Final NMI,NMI Improvement,Method,Saved At
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,42,123,0.22923062732351812,0.3619587486803518,0.1327281213568337,0.32347120942479407,0.4487383560130953,0.12526714658830124,DEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,42,456,0.3120486558047834,0.4063025663573617,0.09425391055257831,0.32983908657549826,0.44305148926264537,0.1132124026871471,DEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,42,789,0.5607843114524544,0.5368431798795501,-0.02394113157290434,0.4780651402346127,0.5030473110708892,0.024982170836276463,DEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,42,2026,0.3267380136641477,0.3375000945778891,0.010762080913741423,0.36172742273981745,0.40268290069692014,0.04095547795710269,DEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,123,456,0.46051211234363076,0.5324576854664642,0.07194557312283345,0.5175810972713815,0.5789862734162177,0.061405176144836204,DEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,123,789,0.2595911920426058,0.3354905111549804,0.07589931911237463,0.2973639364401196,0.350112261385933,0.052748324945813385,DEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,123,2026,0.23143743929634683,0.4544004107136356,0.2229629714172888,0.31711879478387706,0.49663232306882815,0.1795135282849511,DEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,456,789,0.4945406207706099,0.43706632038162235,-0.05747430038898754,0.42650730927664177,0.40119721567742717,-0.0253100935992146,DEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,456,2026,0.4186497825303135,0.6427680749436723,0.2241182924133588,0.41383084084919186,0.6380619205429726,0.22423107969378075,DEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,789,2026,0.4785968909312168,0.3837499985536572,-0.09484689237755961,0.42933151941874215,0.40392259917819473,-0.025408920240547417,DEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,42,123,0.22923062732351812,0.26943850292028204,0.04020787559676392,0.32347120942479407,0.3478596618873263,0.02438845246253224,IDEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,42,456,0.3120486558047834,0.3387416610852183,0.02669300528043489,0.32983908657549826,0.3899027338284223,0.06006364725292401,IDEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,42,789,0.5607843114524544,0.5156127762280414,-0.045171535224413084,0.4780651402346127,0.5030495939570859,0.02498445372247321,IDEC,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,42,2026,0.3267380136641477,0.29931039410293336,-0.02742761956121431,0.36172742273981745,0.3842777000395833,0.02255027729976583,IDEC,2026-07-27 17:59:49
