Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Inertia,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,AIC,BIC,Min Cluster Size,Min Samples,Number of Clusters,Noise Count,Noise Share,Saved At
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,K-Means,2,3031.1229264764834,0.4333551151763075,1.1349877851319934,296.5298181847266,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,K-Means,3,2311.8784211558286,0.4284566993110079,1.0307888685533317,284.9026721617272,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,K-Means,4,1969.5411728529893,0.24441109134261968,1.2245586828174067,256.3452561680677,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,K-Means,5,1656.047953055535,0.3196506700009585,1.0516935432969008,255.8051892334168,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,K-Means,6,1487.694369500002,0.25749634162287177,1.1322546707911358,240.56077541349433,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,K-Means,7,1336.0275165594687,0.2586592269459196,1.1542264087752698,233.81397923487637,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,K-Means,8,1223.3389835562837,0.26743380427533686,1.093637448267284,226.11494439401895,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,K-Means,9,1127.4677306746623,0.276528351467964,1.010801240239553,220.45099175366056,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,K-Means,10,1042.0391288160768,0.27964254965060964,1.0249995625117052,216.9067778911382,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Agglomerative,2,,0.4365128468878199,1.1634362725134946,273.04449456479983,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Agglomerative,3,,0.3961659489110215,1.053148115858664,240.70172628033774,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Agglomerative,4,,0.34955244730443374,1.0043608988971005,218.23469708286652,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Agglomerative,5,,0.34951623716387814,1.2880171547672576,204.49002777726574,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Agglomerative,6,,0.33841427259901646,1.1249095002984657,200.5888576520323,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Agglomerative,7,,0.22022580623736823,1.2204135170506292,203.99058359656132,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Agglomerative,8,,0.224737099127687,1.1857695282087541,194.9477468693484,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Agglomerative,9,,0.23368075083535284,1.0929209298930909,187.62336599669985,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Agglomerative,10,,0.22971878483254624,1.1535863510254147,181.50072940031785,,,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,2,,0.29775168315447265,2.0246398490918436,117.0735238189063,6861.223760746941,6988.099480521955,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,3,,0.2855863635069617,1.4928926510146547,205.94378305933705,6678.553985529517,6871.055077601954,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,4,,0.19970674708433458,1.6364598292866195,180.3627626113746,6540.543609077122,6798.67007344698,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,5,,0.18088045051063908,1.6598011934524366,151.99090217722326,6477.115010201796,6800.866846869076,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,6,,0.21093172745572175,1.566775144324123,162.7774362870703,6420.784410624383,6810.161619589084,,,,,,2026-07-27 17:59:49
Exploratory Technology deep-dive,technology_deep_dive_v1,technology_deep_dive_revenue_25m,Exploratory Technology deep-dive: revenue >= $25M,Technology,25000000,,587,Gaussian Mixture,7,,0.21660470016911754,1.4100461653459315,160.02899725790692,6404.574956033482,6859.577537295603,,,,,,2026-07-27 17:59:49
