Scenario ID,Scenario Name,Method,Mean ARI
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Agglomerative,0.7208313981822768
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,0.5863991325849318
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,0.8902096868916485
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,0.8537698263915519
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,0.6898981896144796
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,0.9604459616460449
industrials_revenue_20m,Industrials companies with revenue >= $20M,Agglomerative,0.8245283481178527
industrials_revenue_20m,Industrials companies with revenue >= $20M,Gaussian Mixture,0.6378020502733406
industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,0.9309573515361484
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Agglomerative,0.8078500464963764
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,0.9023515710718263
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,0.9591802416748626
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,0.6230898007924941
technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,0.7307214066771116
technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,0.8629551009486646
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN,0.9674031099767745
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,0.9731445244430493
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,0.49368959685918157
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,0.995814474546376
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,0.39226703551462655
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,0.40929621495964763
consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,0.39920163779453843
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,0.4784972864549891
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,0.4137193250921153
industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,0.4198093641799353
industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,0.33602317460281145
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,0.310644791109722
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,0.3176176724087433
technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,0.414212766488656
technology_revenue_25m,Technology companies with revenue >= $25M,DEC,0.3707335325041185
